SET_ID	Metabolites	Pathways
SET_1	1-Methylhistidine;alpha-ketoglutarate;anserine;aspartate;beta-alanine;glutamate_HILIC-pos;histidine;N-carbamoyl-beta-alanine;pantothenate;uracil	SMPDB:Beta-Alanine Metabolism|SMPDB:GABA-Transaminase Deficiency|SMPDB:Carnosinuria, carnosinemia|SMPDB:Ureidopropionase deficiency
SET_2	1-Methylhistidine;histidine	SMPDB:Methylhistidine Metabolism
SET_3	1-methylhistamine;1-Methylhistidine;ADP;AMP;beta-alanine;glutamate_HILIC-pos;histidine;Urocanic_acid	SMPDB:Histidinemia|SMPDB:Histidine Metabolism
SET_4	1-methylhistamine;1-Methylhistidine;alpha-ketoglutarate;anserine;aspartate;glutamate_HILIC-pos;histidine;Urocanic_acid	KEGG:Histidine metabolism - Homo sapiens (human)
SET_5	1-methylhistamine;ADP;alpha-ketoglutarate;AMP;beta-alanine;glutamate_HILIC-pos;glycine;histidine;Urocanic_acid	EHMN:Histidine metabolism
SET_6	1-methylhistamine;AMP;beta-alanine;glutamate_HILIC-pos;histidine;Urocanic_acid	INOH:Histidine degradation
SET_7	1-methylnicotinamide;2-aminoadipate;2-hydroxyglutarate;3-hydroxyanthranilic_acid;4-pyridoxate;5-aminolevulinic_acid;acetylcholine;adenosine;ADP;alanine;alpha-glycerophosphate;alpha-glycerophosphocholine;alpha-ketoglutarate;alpha-ketoisovalerate;AMP;Arachidonic_acid;arginine;ascorbate;asparagine;aspartate;beta-alanine;betaine;bilirubin;butyrobetaine;C14:0_LPC_C8-pos;C14:0_LPC_HILIC-pos;C16_carnitine;C16:0_Ceramide_(d18:1);C16:0_LPC;C16:0_SM_C8-pos;C16:0_SM_HILIC-pos;C16:1_CE;C16:1_CE_+NH4;C16:1_LPC_C8-pos;C16:1_LPC_HILIC-pos;C16:1_LPC_plasmalogen;C18:0_CE;C18:0_CE_+NH4;C18:0_LPC_C8-pos;C18:0_LPC_HILIC-pos;C18:0_LPC_isomer;C18:0_SM_C8-pos;C18:0_SM_HILIC-pos;C18:1_LPC_C8-pos;C18:1_LPC_HILIC-pos;C18:1_LPC_isomer;C18:1_LPC_plasmalogen;C18:1_LPC_plasmalogen_isomer;C18:1_SM_C8-pos;C18:1_SM_HILIC-pos;C18:2_LPC_C8-pos;C18:2_LPC_HILIC-pos;C18:2_LPC_isomer;C18:3_CE;C18:3_CE_+NH4;C2_carnitine;C20:0_SM;C20:3_CE;C20:3_CE_+NH4;C20:3_LPC;C20:4_CE;C20:4_CE_+NH4;C20:4_LPC_C8-pos;C20:4_LPC_HILIC-pos;C20:5_CE;C20:5_CE_+NH4;C20:5_LPC;C22:0_Ceramide_(d18:1);C22:0_SM;C22:1_SM;C22:4_CE;C22:4_CE_+NH4;C22:6_CE;C22:6_CE_+NH4;C22:6_LPC_C8-pos;C22:6_LPC_HILIC-pos;C24:0_Ceramide_(d18:1);C24:1_Ceramide_(d18:1);C24:1_SM;C3_carnitine;C30:0_PC;C30:1_PC;C32:0_DAG;C32:0_DAG_+NH4;C32:0_PC;C32:0_PE;C32:1_DAG;C32:1_DAG_+NH4;C32:1_PC;C32:2_DAG;C32:2_PC;C34:0_DAG;C34:0_DAG_+NH4;C34:0_PC;C34:0_PE;C34:1_PC;C34:2_DAG;C34:2_DAG_+NH4;C34:2_PC;C34:2_PE;C34:2_PE_plasmalogen;C34:3_DAG;C34:3_DAG_+NH4;C34:3_PC;C34:4_PC;C36:0_DAG;C36:0_DAG_+NH4;C36:0_PC;C36:0_PE;C36:1_PC;C36:1_PE;C36:1_PE_plasmalogen;C36:2_DAG;C36:2_DAG_+NH4;C36:2_PC;C36:2_PE;C36:2_PE_plasmalogen;C36:3_DAG;C36:3_DAG_+NH4;C36:3_PC;C36:3_PE;C36:4_DAG;C36:4_DAG_+NH4;C36:4_PC-A;C36:4_PC-B;C36:4_PE;C38:2_PC;C38:2_PE;C38:3_PC;C38:4_DAG;C38:4_DAG_+NH4;C38:4_PC;C38:4_PE;C38:5_PE;C38:6_PC;C38:6_PE;C40:10_PC;C40:6_PC;C40:6_PE;C40:6_PS;C40:9_PC;C48:1_TAG;C48:1_TAG_+NH4;C48:2_TAG;C48:2_TAG_+NH4;C50:0_TAG;C50:0_TAG_+NH4;C50:1_TAG;C50:1_TAG_+NH4;C50:2_TAG;C50:2_TAG_+NH4;C50:3_TAG;C50:3_TAG_+NH4;C50:4_TAG;C50:4_TAG_+NH4;C51:2_TAG;C51:2_TAG_+NH4;C52:0_TAG;C52:0_TAG_+NH4;C52:1_TAG;C52:1_TAG_+NH4;C52:2_TAG;C52:2_TAG_+NH4;C52:3_TAG;C52:3_TAG_+NH4;C52:4_TAG;C52:4_TAG_+NH4;C52:5_TAG;C52:6_TAG;C52:6_TAG_+NH4;C54:1_TAG;C54:1_TAG_+NH4;C54:2_TAG;C54:2_TAG_+NH4;C54:3_TAG;C54:3_TAG_+NH4;C54:4_TAG;C54:4_TAG_+NH4;C54:5_TAG;C54:6_TAG;C54:7_TAG;C54:7_TAG_+NH4;C56:1_TAG;C56:1_TAG_+NH4;C56:2_TAG;C56:2_TAG_+NH4;C56:3_TAG;C56:3_TAG_+NH4;C56:4_TAG;C56:4_TAG_+NH4;C56:5_TAG;C56:5_TAG_+NH4;C56:6_TAG;C56:6_TAG_+NH4;C56:7_TAG;C56:7_TAG_+NH4;C56:8_TAG;C56:8_TAG_+NH4;C56:9_TAG;C56:9_TAG_+NH4;C58:10_TAG;C58:10_TAG_+NH4;C58:6_TAG;C58:6_TAG_+NH4;C58:7_TAG;C58:7_TAG_+NH4;C58:8_TAG;C58:8_TAG_+NH4;C58:9_TAG;C58:9_TAG_+NH4;C60:12_TAG;C60:12_TAG_+NH4;Capric_acid;Chenodeoxycholate;Cholate;choline;citrulline;Cortexolone;Cortisol;Cortisone;creatine;creatinine;Deoxycholate;DHAP/glyceraldehyde_3P;Dihydrothymine;dimethylglycine;Docosahexaenoic_acid;Dodecanoic_acid;Eicosapentaenoic_acid;eicosapentaenoic_acid;GDP;glucuronate;glutamate_HILIC-pos;glutamine;glycine;Glycochenodeoxycholate;Glycocholate;glycocholate;guanidinoacetic_acid;guanine;guanosine;hexose_monophosphate;hippurate;histidine;hypoxanthine_HILIC-neg;hypoxanthine_HILIC-pos;IMP;inosine_HILIC-neg;inosine_HILIC-pos;inositol;isoleucine;kynurenic_acid;kynurenine;lactate;leucine;Linoleic_acid;Lithocholate;lysine;malate;methionine;N-carbamoyl-beta-alanine;niacinamide;Oleic_acid;ornithine;oxalate;Palmitic_acid;pantothenate;pentose_monophosphate;PEP;phenylalanine;phosphocholine;phosphoethanolamine;proline;putrescine;pyroglutamic_acid;pyruvate;quinolinate;Salicylic_acid;salicylurate;Salicyluric_acid;serine;serotonin;sorbitol;spermidine;Sphinganine;Sphingosine_1-Phosphate;sphingosine_C8-pos;sphingosine_HILIC-pos;Stearic_acid;succinate;taurine_HILIC-neg;taurine_HILIC-pos;Taurochenodeoxycholate;Taurolithocholate;thiamine;threonine;thymine;thyroxine;trimethylamine-N-oxide;tryptophan_HILIC-neg;tryptophan_HILIC-pos;tyrosine;uracil;urate_HILIC-neg;urate_HILIC-pos;uridine;Urocanic_acid;valine;xanthine	Reactome:Metabolism
SET_8	1-methylnicotinamide;4-pyridoxate;ADP;alanine;AMP;ascorbate;glutamate_HILIC-pos;glutamine;glycine;lysine;methionine;niacinamide;pantothenate;quinolinate;serine;thiamine	Reactome:Metabolism of vitamins and cofactors|Reactome:Metabolism of water-soluble vitamins and cofactors
SET_9	1-methylnicotinamide;4-pyridoxate;ADP;alanine;AMP;ascorbate;glutamate_HILIC-pos;glutamine;glycine;lysine;methionine;niacinamide;pantothenate;serine;thiamine	Wikipathways:Metabolism of water-soluble vitamins and cofactors
SET_10	1-methylnicotinamide;ADP;AMP;arginine;glutamate_HILIC-pos;glutamine;niacinamide;quinolinate	EHMN:Vitamin B3 (nicotinate and nicotinamide) metabolism
