SET_ID	RankSumP
SET_1	1.8e-05
SET_2	0.169
SET_3	0.128
SET_4	0.131
SET_5	0.107
SET_6	0.717
SET_7	0.00313
SET_8	1.06e-05
SET_9	9.77e-06
SET_10	0.00888
SET_11	0.017
SET_12	0.0269
SET_13	7.29e-12
SET_14	0.00328
SET_15	7.05e-05
SET_16	0.981
SET_17	2.19e-08
SET_18	6.99e-10
SET_19	0.562
SET_20	0.00966
SET_21	0.946
SET_22	0.0823
SET_23	3.55e-08
SET_24	0.000539
SET_25	0.151
SET_26	0.0202
SET_27	0.566
SET_28	0.043
SET_29	0.00677
SET_30	0.0762
SET_31	3.89e-07
SET_32	1.91e-06
SET_33	0.0193
SET_34	2.73e-06
SET_35	0.02
SET_36	0.000965
SET_37	2.36e-05
SET_38	1.75e-08
SET_39	0.814
SET_40	0.0943
SET_41	0.162
SET_42	0.00151
SET_43	0.00296
SET_44	5.03e-06
SET_45	0.0334
SET_46	4.68e-06
SET_47	0.925
SET_48	1.35e-05
SET_49	4.11e-05
SET_50	1.85e-08
SET_51	2.6e-07
SET_52	5.52e-07
SET_53	0.172
SET_54	0.0549
SET_55	3.43e-07
SET_56	0.0925
SET_57	0.329
SET_58	0.0546
SET_59	1.77e-10
SET_60	0.0818
SET_61	0.0269
SET_62	0.121
SET_63	3.28e-06
SET_64	3.42e-07
SET_65	0.00575
SET_66	0.228
SET_67	0.221
SET_68	0.0777
SET_69	1.69e-27
SET_70	9.8e-13
SET_71	1.71e-09
SET_72	4.28e-08
SET_73	6.55e-11
SET_74	8.13e-12
SET_75	0.49
SET_76	0.000175
SET_77	0.00402
SET_78	0.0128
SET_79	0.0197
SET_80	3.6e-11
SET_81	0.0153
SET_82	1.81e-08
SET_83	2.32e-12
SET_84	2.78e-15
SET_85	0.33
SET_86	0.00215
SET_87	5.17e-26
SET_88	0.0795
SET_89	7.66e-30
SET_90	7.72e-11
SET_91	1.38e-16
SET_92	3.08e-11
SET_93	3.94e-14
SET_94	8.06e-13
SET_95	6.7e-14
SET_96	2.15e-12
SET_97	6.64e-13
SET_98	1.79e-05
SET_99	0.000561
SET_100	3.54e-06
SET_101	0.0132
SET_102	4.78e-05
SET_103	0.000555
SET_104	0.0449
SET_105	0.0393
SET_106	0.000129
SET_107	0.461
SET_108	0.00285
SET_109	0.00309
SET_110	0.000493
SET_111	0.000515
SET_112	9.36e-05
SET_113	0.0124
SET_114	1.51e-05
SET_115	0.0125
SET_116	0.00106
SET_117	0.0109
SET_118	0.016
SET_119	0.000222
SET_120	0.000634
SET_121	4.26e-08
SET_122	4.59e-05
SET_123	0.0175
SET_124	0.0269
SET_125	0.0137
SET_126	0.000956
SET_127	6.86e-05
SET_128	0.0137
SET_129	0.0842
SET_130	0.0803
SET_131	0.0616
SET_132	0.944
SET_133	3.12e-08
SET_134	9.71e-14
SET_135	1.23e-11
SET_136	0.286
SET_137	0.00237
SET_138	8.76e-07
SET_139	8.36e-05
SET_140	2.84e-08
SET_141	1.35e-07
SET_142	5.6e-08
SET_143	7.79e-09
SET_144	5.16e-11
SET_145	3.52e-10
SET_146	9.89e-07
SET_147	9.46e-06
SET_148	4.46e-15
SET_149	1.55e-10
SET_150	4.93e-22
SET_151	2.73e-24
SET_152	5.93e-32
SET_153	2.8e-32
SET_154	2.61e-10
SET_155	0.0289
SET_156	0.142
SET_157	0.18
SET_158	4.34e-16
SET_159	3.22e-16
SET_160	1.85e-14
SET_161	1.66e-16
SET_162	6.22e-13
SET_163	2.97e-18
SET_164	2.18e-13
SET_165	1.47e-11
SET_166	5.03e-10
SET_167	3.01e-09
SET_168	1.05e-12
SET_169	1.09e-09
SET_170	1.34e-10
SET_171	1.08e-06
SET_172	8.2e-12
SET_173	2.64e-09
SET_174	1.32e-09
SET_175	0.659
SET_176	0.649
SET_177	0.0492
SET_178	0.0153
SET_179	0.021
SET_180	0.323
SET_181	0.0265
SET_182	7.82e-05
SET_183	0.00136
SET_184	0.0246
SET_185	0.00193
SET_186	0.00385
SET_187	0.174
SET_188	0.484
SET_189	0.0147
SET_190	0.00916
SET_191	7.94e-05
SET_192	0.133
SET_193	0.00104
SET_194	0.108
SET_195	0.00328
SET_196	0.0289
SET_197	0.00706
SET_198	0.867
SET_199	0.426
SET_200	1.25e-10
SET_201	8.38e-17
SET_202	2.49e-10
SET_203	6.97e-05
SET_204	9.95e-07
SET_205	0.00343
SET_206	1.2e-06
SET_207	0.000156
SET_208	0.000419
SET_209	0.00133
SET_210	0.00345
SET_211	2.46e-05
SET_212	3.7e-09
SET_213	9.37e-08
SET_214	0.00724
SET_215	0.000133
SET_216	0.000837
SET_217	0.476
SET_218	0.0788
SET_219	2.05e-38
SET_220	6.86e-34
SET_221	1.04e-39
SET_222	0.212
SET_223	0.00533
SET_224	0.825
SET_225	5.77e-10
SET_226	6.13e-10
SET_227	4.35e-07
SET_228	0.00327
SET_229	0.000538
SET_230	5.39e-05
SET_231	7.74e-08
SET_232	2.59e-06
SET_233	8.34e-05
SET_234	0.0868
SET_235	0.000215
SET_236	1.17e-05
SET_237	1.69e-10
SET_238	0.000181
SET_239	0.00162
SET_240	0.000364
SET_241	0.000155
SET_242	1.87e-05
SET_243	0.000326
SET_244	5.19e-09
SET_245	0.000141
SET_246	0.00227
SET_247	0.103
SET_248	0.57
SET_249	0.0104
SET_250	2.52e-30
SET_251	1.24e-08
SET_252	6.92e-08
SET_253	2.2e-33
SET_254	0.941
SET_255	0.0857
SET_256	0.0395
SET_257	0.0346
SET_258	0.0213
SET_259	0.678
SET_260	0.00872
SET_261	0.861
SET_262	0.0213
SET_263	0.267
SET_264	0.448
SET_265	0.000317
SET_266	0.101
SET_267	0.128
SET_268	0.0402
SET_269	0.267
SET_270	0.117
SET_271	0.123
SET_272	0.114
SET_273	0.457
SET_274	0.00273
SET_275	0.000587
SET_276	0.733
SET_277	0.495
SET_278	0.0837
SET_279	0.00751
SET_280	0.727
SET_281	0.0526
SET_282	0.0231
SET_283	0.273
SET_284	0.78
SET_285	0.00412
SET_286	0.204
SET_287	0.00718
SET_288	0.0947
SET_289	0.0364
SET_290	0.00371
SET_291	0.0256
SET_292	0.0389
SET_293	0.0183
SET_294	0.979
SET_295	0.0788
SET_296	0.385
SET_297	0.00533
SET_298	0.0579
SET_299	0.676
SET_300	0.37
SET_301	0.078
SET_302	0.826
SET_303	6.27e-07
SET_304	0.4
SET_305	0.265
SET_306	0.816
SET_307	0.000388
SET_308	0.605
SET_309	0.674
SET_310	0.0153
SET_311	0.861
SET_312	0.153
SET_313	0.114
SET_314	0.0763
SET_315	0.119
SET_316	0.654
SET_317	0.102
SET_318	0.63
SET_319	0.141
SET_320	0.000441
SET_321	0.119
SET_322	0.367
SET_323	0.307
SET_324	0.0622
SET_325	0.654
SET_326	0.753
SET_327	0.561
SET_328	0.307
SET_329	3.95e-13
SET_330	1.98e-13
SET_331	0.0169
SET_332	0.109
SET_333	5.57e-11
SET_334	6.38e-24
SET_335	8.9e-15
SET_336	1.24e-11
SET_337	1.36e-11
SET_338	9.29e-11
SET_339	2.12e-10
SET_340	9.55e-11
SET_341	1.46e-11
SET_342	6.94e-06
SET_343	2.06e-06
SET_344	1.51e-06
SET_345	0.0594
SET_346	0.0329
SET_347	0.952
SET_348	6.53e-07
SET_349	0.462
SET_350	0.00486
SET_351	0.197
SET_352	1.61e-09
SET_353	0.094
SET_354	0.207
