OE_Metabolite	BioAge_Metabolite
C16:1_MAG	C8-pos_cmp.QI1192
C18:0_MAG	C8-pos_cmp.QI1278
C34:1_PI	C40:6_PS
C8-pos_155	C8-pos_cmp.QI323
C8-pos_113	C8-pos_cmp.QI323
C8-pos_84	C8-pos_cmp.QI470
C8-pos_56	C8-pos_cmp.QI349
C8-pos_33	C8-pos_cmp.QI429
C8-pos_102	C8-pos_cmp.QI391
C8-pos_1859	C8-pos_cmp.QI393
C8-pos_1931	C8-pos_cmp.QI404
C8-pos_1930	C8-pos_cmp.QI401
C8-pos_1779	C8-pos_cmp.QI396
C8-pos_1212	C8-pos_cmp.QI401
C8-pos_1782	C8-pos_cmp.QI399
C8-pos_1828	C8-pos_cmp.QI397
C8-pos_1269	C8-pos_cmp.QI401
C8-pos_1791	C8-pos_cmp.QI396
C8-pos_1702	C8-pos_cmp.QI401
C8-pos_1910	C8-pos_cmp.QI396
C8-pos_1735	C8-pos_cmp.QI405
C8-pos_1841	C8-pos_cmp.QI404
C8-pos_1834	C8-pos_cmp.QI404
C8-pos_1856	C8-pos_cmp.QI396
C8-pos_1801	C8-pos_cmp.QI396
C8-pos_1817	C8-pos_cmp.QI396
C8-pos_1915	C8-pos_cmp.QI396
C8-pos_1905	C8-pos_cmp.QI404
C8-pos_1919	C8-pos_cmp.QI404
C8-pos_1912	C8-pos_cmp.QI404
C8-pos_1821	C8-pos_cmp.QI396
C8-pos_39	C8-pos_cmp.QI493
C8-pos_68	C8-pos_cmp.QI429
C8-pos_1855	C8-pos_cmp.QI534
C8-pos_138	C8-pos_cmp.QI543
C8-pos_145	C8-pos_cmp.QI451
C8-pos_67	C8-pos_cmp.QI455
C8-pos_86	C8-pos_cmp.QI579
C8-pos_51	C8-pos_cmp.QI473
C8-pos_103	C8-pos_cmp.QI485
C8-pos_42	C8-pos_cmp.QI495
C8-pos_136	C8-pos_cmp.QI500
C8-pos_32	C8-pos_cmp.QI505
C8-pos_110	C8-pos_cmp.QI508
C8-pos_38	C8-pos_cmp.QI514
C8-pos_64	C8-pos_cmp.QI524
C8-pos_142	C8-pos_cmp.QI542
C8-pos_1477	C8-pos_cmp.QI549
C8-pos_46	C8-pos_cmp.QI552
C8-pos_1854	C8-pos_cmp.QI560
C8-pos_140	C8-pos_cmp.QI580
C8-pos_1559	C8-pos_cmp.QI582
C8-pos_1865	C8-pos_cmp.QI582
C8-pos_1109	C8-pos_cmp.QI582
C8-pos_24	C8-pos_cmp.QI592
C8-pos_99	C8-pos_cmp.QI592
C8-pos_219	C8-pos_cmp.QI510
C8-pos_108	C8-pos_cmp.QI608
C8-pos_98	C8-pos_cmp.QI629
C8-pos_152	C8-pos_cmp.QI630
C8-pos_35	C8-pos_cmp.QI634
C8-pos_65	C8-pos_cmp.QI636
C8-pos_60	C8-pos_cmp.QI648
C8-pos_157	C8-pos_cmp.QI658
C8-pos_34	C8-pos_cmp.QI662
C8-pos_254	C8-pos_cmp.QI671
C8-pos_154	C8-pos_cmp.QI674
C8-pos_100	C8-pos_cmp.QI646
C8-pos_104	C8-pos_cmp.QI691
C8-pos_97	C8-pos_cmp.QI728
C8-pos_70	C8-pos_cmp.QI713
C8-pos_71	C8-pos_cmp.QI714
C8-pos_90	C8-pos_cmp.QI878
C8-pos_111	C8-pos_cmp.QI722
C8-pos_101	C8-pos_cmp.QI856
C8-pos_153	C8-pos_cmp.QI630
C8-pos_1813	C8-pos_cmp.QI630
C8-pos_1904	C8-pos_cmp.QI630
C8-pos_1842	C8-pos_cmp.QI630
C8-pos_87	C8-pos_cmp.QI744
C8-pos_1853	C8-pos_cmp.QI751
C8-pos_251	C8-pos_cmp.QI787
C8-pos_223	C8-pos_cmp.QI787
C8-pos_156	C8-pos_cmp.QI768
C8-pos_40	C8-pos_cmp.QI797
C8-pos_139	C8-pos_cmp.QI662
C8-pos_88	C8-pos_cmp.QI838
C8-pos_105	C8-pos_cmp.QI847
C8-pos_135	C8-pos_cmp.QI847
C8-pos_1903	C8-pos_cmp.QI864
C8-pos_147	C8-pos_cmp.QI752
C8-pos_48	C8-pos_cmp.QI900
C8-pos_1762	C8-pos_cmp.QI910
C8-pos_115	C8-pos_cmp.QI915
C8-pos_137	C8-pos_cmp.QI1069
C8-pos_188	C8-pos_cmp.QI1104
C8-pos_28	C8-pos_cmp.QI942
C8-pos_109	C8-pos_cmp.QI950
C8-pos_167	C8-pos_cmp.QI950
C8-pos_287	C8-pos_cmp.QI1118
C8-pos_81	C8-pos_cmp.QI958
C8-pos_73	C8-pos_cmp.QI1013
C8-pos_62	C8-pos_cmp.QI1015
C8-pos_129	C8-pos_cmp.QI1144
C8-pos_143	C8-pos_cmp.QI969
C8-pos_74	C8-pos_cmp.QI1025
C8-pos_89	C8-pos_cmp.QI1027
C8-pos_195	C8-pos_cmp.QI1163
C8-pos_53	C8-pos_cmp.QI1032
C8-pos_131	C8-pos_cmp.QI1139
C8-pos_149	C8-pos_cmp.QI1059
C8-pos_194	C8-pos_cmp.QI1180
C8-pos_132	C8-pos_cmp.QI1067
C8-pos_159	C8-pos_cmp.QI898
C8-pos_29	C8-pos_cmp.QI931
C8-pos_77	C8-pos_cmp.QI1076
C8-pos_22	C8-pos_cmp.QI957
C8-pos_198	C8-pos_cmp.QI1096
C8-pos_30	C8-pos_cmp.QI1096
C8-pos_1857	C8-pos_cmp.QI1095
C8-pos_261	C8-pos_cmp.QI1107
C8-pos_160	C8-pos_cmp.QI1112
C8-pos_4	C8-pos_cmp.QI1125
C8-pos_130	C8-pos_cmp.QI1144
C8-pos_1929	C8-pos_cmp.QI1148
C8-pos_298	C8-pos_cmp.QI1148
C8-pos_330	C8-pos_cmp.QI1148
C8-pos_1802	C8-pos_cmp.QI1148
C8-pos_69	C8-pos_cmp.QI1179
C8-pos_133	C8-pos_cmp.QI1283
C8-pos_193	C8-pos_cmp.QI1086
C8-pos_275	C8-pos_cmp.QI1190
C8-pos_1832	C8-pos_cmp.QI1211
C8-pos_66	C8-pos_cmp.QI1218
C8-pos_44	C8-pos_cmp.QI1218
C8-pos_169	C8-pos_cmp.QI1222
C8-pos_231	C8-pos_cmp.QI1351
C8-pos_260	C8-pos_cmp.QI1234
C8-pos_161	C8-pos_cmp.QI1243
C8-pos_175	C8-pos_cmp.QI1253
C8-pos_1913	C8-pos_cmp.QI1278
C8-pos_302	C8-pos_cmp.QI1423
C8-pos_1862	C8-pos_cmp.QI1423
C8-pos_1927	C8-pos_cmp.QI1283
C8-pos_277	C8-pos_cmp.QI1293
C8-pos_134	C8-pos_cmp.QI1310
C8-pos_1902	C8-pos_cmp.QI1494
C8-pos_1851	C8-pos_cmp.QI1494
C8-pos_37	C8-pos_cmp.QI1452
C8-pos_1466	C8-pos_cmp.QI1352
C8-pos_1603	C8-pos_cmp.QI1353
C8-pos_1160	C8-pos_cmp.QI1353
C8-pos_141	C8-pos_cmp.QI1359
C8-pos_1605	C8-pos_cmp.QI1377
C8-pos_1457	C8-pos_cmp.QI1376
C8-pos_304	C8-pos_cmp.QI1520
C8-pos_151	C8-pos_cmp.QI1468
C8-pos_1107	C8-pos_cmp.QI1549
C8-pos_1144	C8-pos_cmp.QI1549
C8-pos_1924	C8-pos_cmp.QI1549
C8-pos_288	C8-pos_cmp.QI1278
C8-pos_334	C8-pos_cmp.QI1278
C8-pos_1718	C8-pos_cmp.QI1549
C8-pos_1693	C8-pos_cmp.QI1447
C8-pos_36	C8-pos_cmp.QI1452
C8-pos_281	C8-pos_cmp.QI1468
C8-pos_205	C8-pos_cmp.QI1520
C8-pos_172	C8-pos_cmp.QI1628
C8-pos_297	C8-pos_cmp.QI1423
C8-pos_1738	C8-pos_cmp.QI1542
C8-pos_512	C8-pos_cmp.QI1550
C8-pos_1777	C8-pos_cmp.QI1554
C8-pos_1914	C8-pos_cmp.QI1554
C8-pos_1798	C8-pos_cmp.QI1554
C8-pos_1921	C8-pos_cmp.QI1554
C8-pos_1806	C8-pos_cmp.QI1554
C8-pos_672	C8-pos_cmp.QI1563
C8-pos_204	C8-pos_cmp.QI1565
C8-pos_25	C8-pos_cmp.QI1427
C8-pos_1612	C8-pos_cmp.QI1571
C8-pos_180	C8-pos_cmp.QI1564
C8-pos_1925	C8-pos_cmp.QI1587
C8-pos_1826	C8-pos_cmp.QI1587
C8-pos_1808	C8-pos_cmp.QI1587
C8-pos_284	C8-pos_cmp.QI1507
C8-pos_590	C8-pos_cmp.QI1615
C8-pos_94	C8-pos_cmp.QI1641
C8-pos_1871	C8-pos_cmp.QI1657
C8-pos_165	C8-pos_cmp.QI1676
C8-pos_228	C8-pos_cmp.QI1702
C8-pos_218	C8-pos_cmp.QI1723
C8-pos_127	C8-pos_cmp.QI1905
C8-pos_358	C8-pos_cmp.QI1747
C8-pos_116	C8-pos_cmp.QI1755
C8-pos_93	C8-pos_cmp.QI1603
C8-pos_5	C8-pos_cmp.QI1943
C8-pos_1932	C8-pos_cmp.QI1736
C8-pos_1138	C8-pos_cmp.QI1736
C8-pos_119	C8-pos_cmp.QI1909
C8-pos_96	C8-pos_cmp.QI1816
C8-pos_173	C8-pos_cmp.QI1684
C8-pos_59	C8-pos_cmp.QI1713
C8-pos_1150	C8-pos_cmp.QI1860
C8-pos_1754	C8-pos_cmp.QI1860
C8-pos_1772	C8-pos_cmp.QI1860
C8-pos_1761	C8-pos_cmp.QI1860
C8-pos_125	C8-pos_cmp.QI1871
C8-pos_61	C8-pos_cmp.QI1713
C8-pos_122	C8-pos_cmp.QI1755
C8-pos_1148	C8-pos_cmp.QI2015
C8-pos_118	C8-pos_cmp.QI1905
C8-pos_117	C8-pos_cmp.QI1919
C8-pos_92	C8-pos_cmp.QI1921
C8-pos_124	C8-pos_cmp.QI1909
C8-pos_163	C8-pos_cmp.QI1958
C8-pos_31	C8-pos_cmp.QI1959
C8-pos_1926	C8-pos_cmp.QI1992
C8-pos_95	C8-pos_cmp.QI2189
