Compound	m.z	RT	Metabolite	BPP01	HPP01	60517	52426	70281	33057	92102	14256	86732	29343	41236	93663	25319	43268	37702	55914	5676	18614	41252	87843	1774	86331	BPP02	HPP02	38033	28158	95584	41338	61915	74121	69462	27843	10203	43070	33471	87483	82037	50574	55993	76905	67334	84556	71320	82805	BPP03	HPP03	51313	58552	83484	83852	44527	84353	58569	7024	90778	91392	43277	37463	59417	3970	1988	21669	46461	14048	4544	9871	BPP04	HPP04	9143	50683	50069	88313	38215	3565	88611	93855	79381	38807	59391	48975	31878	42394	27071	13380	37660	89443	18543	19844	BPP05	HPP05	64520	77602	82435	23359	26288	73289	70939	82651	70551	52795	46726	79150	31498	31665	76721	32016	45871	42991	2190	22553	BPP06	HPP06	BPP07	HPP07	57556	42316	19466	66309	71692	71938	32830	81316	93427	72860	19045	85279	42966	33398	45989	4503	4833	8276	73407	25287	BPP08	HPP08	79056	1488	95355	81822	35538	85108	58292	89129	23632	45723	14463	36865	56095	75694	45590	75885	22282	83326	29010	2955	BPP09	HPP09	572	99473	70860	34871	XBPP-LCfail3	8308	88820	29827	18282	15710	59113	82620	9419	75315	85066	70231	53615	37084	41997	27290	7222	BPP10	HPP10	11404	17689	52456	34348	92807	16806	91028	13544	52107	84373	26369	79621	74647	14930	37147	47234	95186	139	10805	24917	BPP11	HPP11	90914	6752	94239	73677	52174	88175	37694	9120	83807	5222	38388	92782	10582	59182	77206	82745	21313	3532	21032	3148	BPP12	HPP12	BPP13	HPP13	6944	98445	1877	99175	71577	25472	56231	14481	42469	40567	79652	85677	21516	9095	71098	24053	90437	47183	90719	28639	BPP14	HPP14	47329	23202	38430	38153	68793	96097	19358	36974	33688	6406	5299	3803	83286	83245	35563	28277	32065	4410	99860	41441	BPP15	HPP15	19680	26164	15931	20094	11553	34706	5603	73485	71844	7517	17574	9823	70603	97993	22351	53957	10268	46990	32881	65936	BPP16	HPP16	94030	79339	59143	27159	66292	42116	30373	2102	47201	90749	74842	32432	74758	95713	15886	5307	20650	86540	32287	71074	BPP17	HPP17	69738	14407	79183	38443	42951	63343	60034	97944	46028	40752	54028	6480	58731	93468	8572	1238	61450	26942	40856	74259	BPP18	HPP18
glycocholate-d4			glycocholate-d4	214124	223607	224047	223447	210513	234794	232082	194404	227058	196592	191461	206940	209347	191399	228238	207349	217535	199414	196148	187719	191026	199221	176138	171449	204621	185466	185075	180178	196159	182250	189051	198974	187875	181073	192931	177024	181375	247954	193631	211798	205781	199351	197802	194804	166556	172298	181773	174517	175483	178720	183301	171904	184362	160186	179623	173185	170797	194297	180004	177219	179534	177854	177808	163458	160289	182321	155066	157961	175281	168940	162221	149838	166262	193030	168115	159447	147374	168922	142350	160608	157849	162654	163456	161993	155892	169527	160718	157583	143256	166234	150809	147066	154266	155753	150322	169759	153866	146782	153318	157363	151295	170244	177487	164151	170914	167672	141542	153313	168138	149245	152602	156606	161446	158820	170393	174253	180423	156459	161396	184532	169520	169910	166009	173475	170096	128009	175636	166017	178724	156917	170632	144308	165203	181558	173609	177467	183216	175985	176316	190174	189435	179156	167964	204951	182202	167860	179246	186382	172181	173919	173761	196624	189341	190847	177193	217656	180006	203094	192571	229934	206047	187000	212211	219098	227723	213793	230923	198590	234699	242716	236969	224062	213526	221328	207383	217122	230031	219926	224806	236740	216043	211681	230225	229900	219338	201415	193364	236250	232050	223020	219834	255425	215217	228027	210252	217317	217159	197866	211836	209372	203688	197000	211102	203439	177166	210811	219461	214041	206415	232132	193624	206233	201488	184335	193380	228035	184277	197771	218162	177114	222997	245736	221236	234208	361333	222215	207925	240245	204970	216225	221140	230319	198084	199540	189720	188404	242312	212369	196232	225380	192699	192488	205915	200108	206636	209594	204595	193451	219477	211459	209185	197182	214045	240830	227254	231354	231331	218360	210716	220839	228182	254353	210692	223353	239916	253098	222765	236819	227440	219516	222415	199559	236151	214615	221688	232824	222021	220347	218520	203138	227414	255932	218144	217229	233472	222237	218736	218130	226830	227144	199567	206706	220803	202733	206865	211837	204010	218071	206486	209430	214252	214287	227258	202731	205145	221647	199721	207445	213098	220523	211409	197508	200294	193136	200676	209414	204032	218048	212767	213040	203485	222055	201943	219473	198272	198051	204036	173715	201487	207409	184727	230851	218105	192325	195682	172774	188747
thymine-d4			thymine-d4	1871277	2011154	1994302	2002769	1996530	2052325	2008668	1952354	2039307	2047200	1925173	2115131	1904254	2013034	1913213	1999225	1999433	2193987	2004584	1995730	1962406	2032539	1895957	1949729	3126395	2003614	2122943	3140515	2104193	1980198	1973169	1950037	1884338	1881527	2012562	2005678	2138285	2015704	1921827	1913443	2043789	2018063	1992381	1896945	1874832	1873769	2018404	1874814	1878865	2281550	2150411	1881773	1839105	2119049	1972396	1802769	2011029	1870783	2301393	1859150	1909417	1903925	1964468	2702341	1935180	1989706	1894066	2030325	2110059	1843355	1734983	1782815	1798118	1845244	1728298	1702644	2335402	1853974	1767029	1732878	1676984	1893376	1766062	1628366	1764316	1785809	1633639	1886463	1635825	1759379	1687811	1749285	1809649	1698957	1737448	1685338	1700507	1707304	1714200	1703169	1579746	1691834	1712441	1615032	2371393	1850308	1560920	1613287	1783165	1758509	1641555	1821407	1647859	1848971	1743500	1526356	1754313	1817105	1706363	1810034	1668487	1867612	1637801	1897627	1845121	1941879	1883956	1737294	1853671	1816007	1810777	1732134	1787020	1718747	1631145	1759829	1489287	1556934	1757981	1716743	1786475	2071058	1852173	2078507	1749586	1703470	3284041	1721199	2376804	2065262	1900890	1895572	1883733	2330107	2082300	2327037	1784559	2253055	1885765	2370145	1943333	2055686	2057526	1756476	2018773	1844272	1857716	1631954	1913373	1834880	2281713	2374077	2275834	2113802	3198939	2216524	2141380	2229724	2132614	1977580	2245061	2218415	2213554	2168959	2221632	2466828	2204031	2220159	2383345	2315875	2328477	2275064	2338320	2211568	2340577	2136622	2351934	2269688	2137651	2170624	2206040	1927522	2287303	2255350	2288552	2407266	2261948	2128365	2019830	1992531	1922436	2174339	2176139	2059504	2000897	2226787	2491061	2202962	2117343	2161559	2154488	2123760	2250983	1880721	2306355	2636863	2899186	2966714	2978473	2752704	3039287	2695013	3164750	2941323	3322370	3146623	3055595	3110056	2926681	2851086	2753749	3070990	3184474	2720531	3157433	2894525	2974866	2683083	2864353	3040161	2914904	3626228	3013358	3226256	3227416	3470328	3235579	3121044	5658180	4450500	3451465	3423761	3398020	3552885	3419220	3379137	4190182	3472188	3406032	3087227	3447869	3187877	3771577	3223328	3223503	3835212	3425434	3536653	3446979	3331878	3331709	3189917	2744882	3100589	3690475	3828313	3393452	3336836	3603385	3517085	3243242	3024150	3324813	3119270	3239286	3234578	3995552	3510640	3602250	4177113	3673054	3425224	3499964	4034986	3364027	3335497	5255238	3539253	3292704	3513579	5181279	3333516	3635508	3020872	3247777	3296869	4437444	5500433	3043241	3336675	3302777	3463460	3392447	3593419	3564827	2791545	3337981	3354382	5870463	3395893	3060233	3623902	3717940	3070992	3422852	2795745	3431904
inosine-15N4			inosine-15N4	1463098	1552710	1530025	1540415	1570816	1567134	1509246	1460165	1514724	1576686	1422720	1430507	1501822	1452391	1454025	1398928	1421093	1384417	1496631	1386434	1435224	1335210	1184553	1320685	1348849	1348926	1362706	1310654	1295557	1297009	1273344	1291243	1297320	1310472	1232851	1235276	1294400	1809619	1307594	1284602	1301766	1288857	1234578	1233358	1125417	1193741	1186151	1253426	1188577	1190896	1220103	1209324	1168989	1189602	1201352	1220547	1157604	1178514	1185050	1154892	1211854	1183343	1185030	1195110	1109601	1226759	1041479	1169780	1250943	1086980	1114435	1160745	1151877	1124551	1053496	1093444	1162446	1106815	1075339	1049019	1033755	1091815	1032999	1130612	1063179	1051671	1050737	1087027	901059	1031340	1038119	1048772	1040530	1005303	1021211	994783	989089	1004976	1075536	1016440	1038661	1035489	1034398	1039177	1028072	1010759	1009894	1045720	1043349	1087398	933677	1045994	1038191	1035494	1057026	1065364	1081122	985230	1075623	1012158	1102410	1075945	1064405	1057566	998157	1043722	1107640	1059356	1026764	1031601	1045345	1049024	1033664	1019225	854531	1098411	1051961	975014	1022593	1036930	1042565	1021414	987978	1090868	1105170	1049755	1107491	1126345	1152598	1055381	1044924	1123296	1085620	1228215	1073359	1068990	994596	1115501	1130082	1174746	1120422	1136809	1021998	1166346	1199036	1121786	1083180	1084764	1143708	1119610	1131225	1169645	1129144	1159741	1101041	1138262	1099889	1182213	1132804	1013703	1143305	1143784	1172013	1184627	1179352	1126282	1164294	1142976	1117029	1112487	1244755	1246007	1190832	1185249	1177841	1194309	1176854	1128560	1036765	1046845	1080123	1005874	1071554	1034447	1101822	1066844	1057870	1051912	1092920	934133	1024674	1114395	935786	967333	941152	965377	1050247	1000576	960405	1083850	1063948	1009395	1111267	952812	1052504	1862369	1754820	1911683	1780363	1789318	1727835	1760039	1760437	1797386	1810074	1678926	1765541	1692568	1573719	1601508	1524609	1607870	1611712	1544693	1598961	1638568	1536745	1460218	1565620	1526107	1563204	1533908	1621210	1668968	1678911	1564775	1690766	1610821	1695344	1655511	1691561	1668486	1717597	1658108	1661662	1660544	1641202	1641705	1610360	1641243	1546848	1609343	1683854	1586761	1594473	1652676	1621015	1657096	1607895	1618314	1592416	1548655	1509339	1574562	1580263	1471207	1540304	1513881	1548420	1526746	1522202	1492481	1466604	1489538	1491143	1459757	1542570	1496989	1527654	1412449	1448250	1486313	1495191	1496162	1425645	1464172	1501732	1540326	1544155	1613712	1393699	1413415	1532219	1375199	1427441	1458003	1366749	1516417	1480478	1574627	1464981	1449831	1440171	1356404	1408494	1389055	1407287	1448351	1533718	1336595	1462555	1500376	1548109	1287420	1454279	1231495	1330453
2-aminoadipate			2-aminoadipate	48526	62450	93880	53870	29721	49009	54767	30160	69678	48652	51455	51657	48607	54737	52940	50630	61566	31614	32864	64186	41603	54534	48693	53191	19222	28133	29105	16314	32759	46875	42828	68499	54735	22557	35335	45390	44822	32789	29383	22457	74750	30710	104487	60160	21772	41001	15494	29865	32218	32832	29481	60609	55865	35407	33384	48357	30655	28262	33159	49211	28333	27605	115482	37573	22918	33641	28591	32344	62882	31808	45353	14199	33538	25879	50325	31567	32077	29508	35071	32492	29473	24930	32365	51546	53611	12905	35034	31658	28936	40311	60825	29403	49283	27320	41349	22579	37609	42420	39686	42448	23434	25393	24944	25792	25477	34396	29622	49495	27368	36966	28591	25256	19713	36654	18608	70997	33512	62063	21538	48843	31049	33986	125789	33577	41520	35580	20696	22437	54195	10884	110177	64588	42402	21370	21940	38770	24002	17275	59112	72185	44535	28583	32070	97353	70126	44133	18717	27604	23710	19409	43425	29879	22657	33382	22047	18729	33828	31179	44486	23973	34393	29991	29937	43367	66744	63890	69846	71755		102781	84051	55238	35164	77571	17769	39745	64382	54704	69317	20821	61123	22775	62580	63646	104318	37705	33757	107496	84756	52547	44169	67945	59879	45825	82280	26627	41739	41749	36623	85289	80611	24919	35944	33003	76362	30859	70165	67131	45913	50492	47713	37191	43949	37160	22392	28469	23859	57687	19171	44139	52387	31821	40192	29152	42816	59894	81647	43061	114527	83437	54658	41064	42500	54144	60836	90048	88834	121983	65915	99574	62151	125476	57724	67458	90380	83418	86304	37299	72743	87336	44737	72155	58957	45228	87254	69249	54015	44083	65542	51334	67633	66925	76528	70845	77986	31529	67262	66427	79794	53899	74781	39911	63654	57503	108852	41243	56013	72514	124364	66856	44876	54021	71456	67026	70572	52335	50031	44184	86069	73284	52419	38269	63690	89497	67687	79314	55979	95378	52411	107182	98811	65321	83657	86154	55934	78285	47282	60683	74807	111218	63040	75513	79670	63006	70856	58611	45097	63627	91502	100780	58901	93626	93478	109699	85354	66963	60882	101729	50028	71483	62750	84025	65574	94043	58296	31278	79488
3-hydroxykynurenate			3-hydroxykynurenate																																																																																																																																																																																																																																																																																																																																																	
2-phosphoglycerate			2-phosphoglycerate	36168	267515	209773	137726	108007	208394	130704	239258	131180	192501	145661	119350	211326	148518	153175	92879	232281	153735	309137	252948	229687	357701	43291	299559	168036	256785	223109	134314	181224	395382	380149	194708	152613	127261	118659	331343	245777	308213	185269	351547	244434	306270	127140	242472	46513	320184	158475	326229	322242	321418	144929	288751	192314	252691	172977	151695	231954	221415	286882	314202	192540	236957	253026	159264	182041	391040	51542	335244	203793	215845	138726	336414	320598	144358	248900	309799	294398	465286	458688	135614	235827	219937	484653	317954	289759	395985	211712	158956	37244	284927	495349	110393	306146	171372	162795	123469	353087	168044	319058	189599	119068	152306	251278	254172	202070	190422	235624	212964	142172	260726	44941	261237	36934	313944	187940	220484	188280	305424	163256	158378	121955	168580	317039	164219	428525	169126	133650	130199	232968	85084	159573	164203	98422	192939	41421	282077	115417	109927	134190	338254	137819	138058	214031	313775	540861	309679	91304	168681	79392	246785	136135	347937	145413	190925	184527	279507	50420	341129	210280	126874	222622	133009	33955	337155	98607	234785	116734	173801	297535	180528	163033	203735	200212	355159	260507	167711	205051	478885	388688	37974	320311	110260	181292	312369	529624	186968	232521	288262	185199	312635	135272	143552	232549	187746	306039	220994	251595	171213	520007	172207	167352	42674	267257	241486	201959	136622	320086	356395	615882	188316	90203	175673	77569	186138	270273	93292	137753	159365	214685	232056	172665	150504	206241	36771	239266	34839	236240	149230	1336489	291277	177659	201308	213425	190644	358591	255142	177509	323285	301141	258642	170377	271983	263921	213792	221947	259984	328160	43897	273315	165530	145568	220902	126927	144646	342184	686396	116444	349332	192670	86577	433143	319800	368123	312504	255909	552242	301127	603066	390661	43277	282657	179189	186287	339285	193461	287829	419399	417538	274824	189320	158734	210333	255860	220862	216323	75988	227606	233280	199970	348728	163013	36393	287805	339723	333461	301765	256346	237344	150859	240491	212508	311524	228359	172105	212309	624474	292214	402551	621281	428783	172404	312854	306243	50126	327332	662365	128348	360889	305444	254166	347502	366042	505339	438287	255067	453268	277646	239881	432634	436726	276362	212762	191565	161767	297550	40757	355098
3-phosphoglycerate			3-phosphoglycerate																																																																																																																																																																																																																																																																																																																																																	
alpha-glycerophosphate			alpha-glycerophosphate	92483	172127	230792	327568	175385	260065	127470	224210	259178	159319	240010	243453	217259	163668	187423	329653	276578	270199	217170	234327	133458	201511	86535	173841	197057	241374	240996	155388	269473	182540	167434	133955	318844	224402	216197	189445	209751	171424	226443	170342	399084	99198	240527	270043	110245	192232	190662	112189	138136	237997	193921	428615	167134	138647	252808	152447	143732	207047	215731	175653	162116	161578	328599	161706	244708	145506	99918	170491	229675	140288	163243	187342	144424	192667	205855	312551	158079	109525	129361	149646	247721	174361	233580	201350	135479	214135	164908	152280	101968	160608	117194	227945	167854	167298	188392	106515	178490	169242	155648	260041	145721	161355	100279	130774	183413	112242	228829	130636	145158	128555	105324	140391	86383	145824	194476	233350	140442	141015	224795	160700	195340	160822	403841	89819	157398	159611	206326	399676	216924	101612	153888	99091	118208	173692	93299	140905	333521	193644	122947	193897	178408	103480	141706	194205	207973	171661	210644	307681	188942	249965	179187	226120	200575	125300	183867	132451	105251	150594	130259	180278	175934	142893	135433	252210	150116	210517	144496	161037	131617	186815	206010	150958	153051	122536	298415	109697	144411	83294	267053	129496	158620	189376	161667	115362	254397	135396	153728	184059	187212	139795	209824	192827	306673	226803	211543	153386	190901	148145	95317	162007	212751	138135	148560	269491	115133	138548	168727	230665	127339	107485	166476	171450	99833	126250	125165	174174	153506	196106	143471	111871	112110	137155	81823	128280	165726	86749	170864	150372	177210	198871	136994	178327	182856	216707	224598	158218	129080	125332	153791	199189	130869	153327	128408	103358	186076	76994	95924	86884	150258	121721	214575	182951	92347	154738	160237	209185	104453	222725	146241	148328	162946	101226	99085	119820	179811	210225	145246	99217	202387	90331	178184	259002	230223	136041	337610	142037	76556	77447	73432	207686	226070	227359	237296	88319	158141	149771	102513	222402	173379	165174	112142	85914	173189	266838	199382	104113	145171	166150	254102	180170	227191	166694	149207	177032	271180	271748	223167	224951	199446	260509	213282	181772	106480	107307	180391	176870	161599	179496	407103	213365	216842	143557	232480	120445	187864	120738	190923	279362	158494	44349	136078	196823	161337	189428	172745	118597	183098
4-pyridoxate			4-pyridoxate	130750	248839	141257	131416	352026	141620	165502	103665	212382	98362	69020	149983	170624	407000	103455	176708	78823	145766	85655	88397	126463	143458	59336	130706	151324	65985	200632	82927	81499	98133	52547	76133	477415	171773	82237	126677	65605	109444	80267	79226	52947	42138	142137	161812	70895	129274	114725	96056	71854	88116	120062	152782	172921	172238	93320	238428	149744	45322	139131	81384	61437	93710	107945	74428	99940	61489	61048	118255	78733	57664	147111	105528	56667	49570	66326	143951	44324	115551	253841	65195	220837	99458	72762	189132	66440	150878	86560	46717	55098	101364	94020	84342	107313	71086	55721	54209	83531	206896	56606	64524	120448	102090	109791	59514	61926	37865	76421	88187	61336	115340	44259	68651	42311	80658	25317	38410	61414	117053	49972	35104	29438		64202	14728	45708	64253	53067	39715	49366	50039	101969	62253	43072	85443	34602	64154	58425	43828	61294	44747	58249	61246	104057	59524	41761	57257	55221	67112	76879	48510	884999	99427	80750	61805	59462	78164	51685	77691	35419	61107	24103	41959	92508	99281	164666	109634	186179	156685	75620	97801	77849	39291	45119	46038	12526	66328	87856	45967	60628	44325	102042	32058	66707	121551	133364	50837	64429	78307	40092	81436	39455	35271	103867	25628	95260	134400	107270	51956	53609	93571	57337	44444	77055	50029	110494	33902	32248	54522	44412	51917	39391	21034		122580	24889	76110	29293	37261	333035	45311	47459	24786	66350	35089	65203	252769	379573	236329	362180	398707	312540	160536	200479	102352	304976	212329	258308	220969	76832	270506	77968	222460	122407	205215	359098	345170	288470	137366	226204	145574	201152	205727	66051	168423	204089	128812	150218	174432	206508	196880	193032	155575	137826	83888	98282	2390237	2798214	231826	247860	127752	192777	77310	847305	95593	334286	141514	1049999	200132	84019	125599	115693	159888	201418	87986	184021	245520	108722	76068	181331	377131	73544	74661	165013	101907	96684	184986	55186	164124	46102	178074	43463	76137	75341	118216	264607	153811	54435	63568	94417	112819	172066	65418	129031	99113	138371	65967	92331	90607	93065	104276	81300	132079	247860	161937	110862	85845	73196	138116	72425	91390	133548	158921	75861	62082	45522	56057	130702
