Sample	WindowGroup
BPP01	NA
HPP01	NA
60517	1
52426	1
70281	1
33057	1
92102	1
14256	1
86732	1
29343	1
41236	1
93663	1
25319	1
43268	1
37702	1
55914	1
5676	1
18614	1
41252	1
87843	1
1774	1
86331	1
BPP02	NA
HPP02	NA
38033	2
28158	2
95584	2
41338	2
61915	2
74121	2
69462	2
27843	2
10203	2
43070	2
33471	2
87483	2
82037	2
50574	2
55993	2
76905	2
67334	2
84556	2
71320	2
82805	2
BPP03	NA
HPP03	NA
51313	3
58552	3
83484	3
83852	3
44527	3
84353	3
58569	3
7024	3
90778	3
91392	3
43277	3
37463	3
59417	3
3970	3
1988	3
21669	3
46461	3
14048	3
4544	3
9871	3
BPP04	NA
HPP04	NA
9143	4
50683	4
50069	4
88313	4
38215	4
3565	4
88611	4
93855	4
79381	4
38807	4
59391	4
48975	4
31878	4
42394	4
27071	4
13380	4
37660	4
89443	4
18543	4
19844	4
BPP05	NA
HPP05	NA
64520	5
77602	5
82435	5
23359	5
26288	5
73289	5
70939	5
82651	5
70551	5
52795	5
46726	5
79150	5
31498	5
31665	5
76721	5
32016	5
45871	5
42991	5
2190	5
22553	5
BPP06	NA
HPP06	NA
57556	6
42316	6
19466	6
66309	6
71692	6
71938	6
32830	6
81316	6
93427	6
72860	6
19045	6
85279	6
42966	6
33398	6
45989	6
4503	6
4833	6
8276	6
73407	6
25287	6
BPP07	NA
HPP07	NA
79056	7
1488	7
95355	7
81822	7
35538	7
85108	7
58292	7
89129	7
23632	7
45723	7
14463	7
36865	7
56095	7
75694	7
45590	7
75885	7
22282	7
83326	7
29010	7
2955	7
BPP08	NA
HPP08	NA
572	8
99473	8
70860	8
34871	8
8308	8
88820	8
29827	8
18282	8
15710	8
59113	8
82620	8
9419	8
75315	8
85066	8
70231	8
53615	8
37084	8
41997	8
27290	8
7222	8
BPP09	NA
HPP09	NA
11404	9
17689	9
52456	9
34348	9
92807	9
16806	9
91028	9
13544	9
52107	9
84373	9
26369	9
79621	9
74647	9
14930	9
37147	9
47234	9
95186	9
139	9
10805	9
24917	9
BPP10	NA
HPP10	NA
90914	10
6752	10
94239	10
73677	10
52174	10
88175	10
37694	10
9120	10
83807	10
5222	10
38388	10
92782	10
10582	10
59182	10
77206	10
82745	10
21313	10
3532	10
21032	10
3148	10
BPP11	NA
HPP11	NA
6944	11
98445	11
1877	11
99175	11
71577	11
25472	11
56231	11
14481	11
42469	11
40567	11
79652	11
85677	11
21516	11
9095	11
71098	11
24053	11
90437	11
47183	11
90719	11
28639	11
BPP12	NA
HPP12	NA
47329	12
23202	12
38430	12
38153	12
68793	12
96097	12
19358	12
36974	12
33688	12
6406	12
5299	12
3803	12
83286	12
83245	12
35563	12
28277	12
32065	12
4410	12
99860	12
41441	12
BPP13	NA
HPP13	NA
19680	13
26164	13
15931	13
20094	13
11553	13
34706	13
5603	13
73485	13
71844	13
7517	13
17574	13
9823	13
70603	13
97993	13
22351	13
53957	13
10268	13
46990	13
32881	13
65936	13
BPP14	NA
HPP14	NA
94030	14
79339	14
59143	14
27159	14
66292	14
42116	14
30373	14
2102	14
47201	14
90749	14
74842	14
32432	14
74758	14
95713	14
15886	14
5307	14
20650	14
86540	14
32287	14
71074	14
BPP15	NA
HPP15	NA
69738	15
14407	15
79183	15
38443	15
42951	15
63343	15
60034	15
97944	15
46028	15
40752	15
54028	15
6480	15
58731	15
93468	15
8572	15
1238	15
61450	15
26942	15
40856	15
74259	15
BPP16	NA
HPP16	NA
