SampleID	Sex	Age
Sample_177	2	39
Sample_288	2	59
Sample_51	1	59
Sample_199	2	30
Sample_149	2	51
Sample_131	2	63
Sample_248	2	42
Sample_41	1	22
Sample_20	1	33
Sample_84	1	48
Sample_211	1	28
Sample_246	1	22
Sample_222	1	60
Sample_1	1	39
Sample_260	1	54
Sample_270	1	29
Sample_10	1	55
Sample_110	2	44
Sample_94	1	60
Sample_43	1	38
Sample_144	2	30
Sample_114	2	48
Sample_267	1	27
Sample_126	2	29
Sample_29	1	25
Sample_188	2	34
Sample_135	2	26
Sample_276	1	55
Sample_295	1	49
Sample_228	2	62
Sample_209	2	24
Sample_90	1	31
Sample_296	1	34
Sample_16	1	32
Sample_140	2	26
Sample_185	2	27
Sample_257	2	57
Sample_152	2	28
Sample_189	2	45
Sample_202	2	36
Sample_289	2	31
Sample_281	2	50
Sample_8	1	64
Sample_243	2	52
Sample_34	1	28
Sample_160	2	31
Sample_142	2	33
Sample_38	1	25
Sample_138	2	34
Sample_224	2	40
Sample_100	1	36
Sample_63	1	27
Sample_264	1	44
Sample_71	1	31
Sample_55	1	31
Sample_279	2	56
Sample_128	2	30
Sample_5	NA	NA
Sample_156	2	30
Sample_193	2	31
Sample_145	2	24
Sample_127	2	21
Sample_133	2	39
Sample_247	2	56
Sample_220	2	21
Sample_76	1	47
Sample_46	1	50
Sample_7	1	26
Sample_227	2	52
Sample_218	1	36
Sample_255	2	43
Sample_35	1	51
Sample_239	1	24
Sample_95	1	36
Sample_37	1	55
Sample_166	2	36
Sample_212	1	60
Sample_143	2	33
Sample_118	2	47
Sample_15	1	31
Sample_229	2	27
Sample_104	2	22
Sample_163	2	31
Sample_57	1	45
Sample_72	1	27
Sample_33	1	52
Sample_130	2	23
Sample_275	1	35
Sample_117	2	24
Sample_39	1	28
Sample_184	2	31
Sample_139	2	38
Sample_217	2	47
Sample_277	2	31
Sample_192	2	61
Sample_231	2	22
Sample_262	1	20
Sample_208	2	53
Sample_6	1	54
Sample_116	2	24
Sample_129	2	50
Sample_32	1	34
Sample_162	2	30
Sample_97	1	45
Sample_236	2	42
Sample_242	2	47
Sample_101	2	36
Sample_153	2	53
Sample_50	1	26
Sample_197	2	32
Sample_265	1	39
Sample_186	2	31
Sample_164	2	32
Sample_261	1	56
Sample_259	1	21
Sample_112	2	24
Sample_92	1	52
Sample_278	2	42
