Compound	m.z	RT	Metabolite	BPP01	HPP01	Sample_246	Sample_21	Sample_66	Sample_281	Sample_175	Sample_62	Sample_125	Sample_295	Sample_170	Sample_193	Sample_166	Sample_12	Sample_213	Sample_26	Sample_54	Sample_161	Sample_225	Sample_121	Sample_40	Sample_296	BPP02	HPP02	Sample_189	Sample_128	Sample_31	Sample_233	Sample_119	Sample_78	Sample_167	Sample_291	Sample_72	Sample_299	Sample_100	Sample_111	Sample_56	Sample_134	Sample_15	Sample_190	Sample_67	Sample_33	Sample_82	Sample_294	BPP03	HPP03	Sample_268	Sample_196	Sample_276	Sample_27	Sample_205	Sample_235	Sample_49	Sample_203	Sample_300	Sample_156	Sample_73	Sample_133	Sample_174	Sample_47	Sample_86	Sample_145	Sample_282	Sample_93	Sample_243	Sample_18	BPP04	HPP04	Sample_292	Sample_231	Sample_177	Sample_136	Sample_122	Sample_92	Sample_267	Sample_16	Sample_152	Sample_22	Sample_240	Sample_297	Sample_191	Sample_274	Sample_102	Sample_146	Sample_132	Sample_227	Sample_6	Sample_181	BPP05	HPP05	Sample_252	Sample_19	Sample_287	Sample_242	Sample_153	Sample_199	Sample_124	Sample_140	Sample_218	Sample_270	Sample_81	Sample_163	Sample_272	Sample_50	Sample_261	Sample_36	Sample_137	Sample_158	Sample_288	Sample_44	BPP06	HPP06	Sample_117	Sample_1	Sample_8	Sample_247	Sample_123	Sample_269	Sample_116	Sample_232	Sample_65	Sample_138	Sample_48	Sample_68	Sample_55	Sample_150	Sample_101	Sample_151	Sample_162	Sample_24	Sample_34	Sample_224	BPP07	HPP07	Sample_10	Sample_79	Sample_259	Sample_254	Sample_144	Sample_118	Sample_53	Sample_251	Sample_184	Sample_289	Sample_103	Sample_186	Sample_273	Sample_263	Sample_182	Sample_4	Sample_42	Sample_262	Sample_109	Sample_127	BPP08	HPP08	Sample_250	Sample_80	Sample_51	Sample_178	Sample_255	Sample_149	Sample_286	Sample_5	Sample_249	Sample_168	Sample_256	Sample_245	Sample_84	Sample_46	Sample_298	Sample_234	Sample_129	Sample_99	Sample_29	Sample_38	BPP09	HPP09	Sample_69	Sample_143	Sample_104	Sample_209	Sample_85	Sample_239	Sample_264	Sample_275	Sample_14	Sample_139	Sample_63	Sample_278	Sample_185	Sample_216	Sample_228	Sample_77	Sample_64	Sample_204	Sample_94	Sample_114	BPP10	HPP10	Sample_98	Sample_257	Sample_220	Sample_211	Sample_107	Sample_202	Sample_241	Sample_192	Sample_222	Sample_195	Sample_89	Sample_30	Sample_110	Sample_61	Sample_266	Sample_155	Sample_148	Sample_180	Sample_141	Sample_198	BPP11	HPP11	Sample_75	Sample_214	Sample_9	Sample_23	Sample_112	Sample_187	Sample_28	Sample_169	Sample_37	Sample_201	Sample_17	Sample_90	Sample_172	Sample_83	Sample_25	Sample_283	Sample_260	Sample_237	Sample_154	Sample_284	BPP12	HPP12	Sample_207	Sample_57	Sample_238	Sample_52	Sample_271	Sample_135	Sample_96	Sample_160	Sample_39	Sample_258	Sample_60	Sample_59	Sample_197	Sample_265	Sample_105	Sample_279	Sample_88	Sample_226	Sample_173	Sample_45	BPP13	HPP13	Sample_126	Sample_208	Sample_171	Sample_159	Sample_277	Sample_7	Sample_165	Sample_32	Sample_188	Sample_194	Sample_43	Sample_285	Sample_215	Sample_217	Sample_3	Sample_236	Sample_11	Sample_106	Sample_290	Sample_95	BPP14	HPP14	Sample_206	Sample_219	Sample_280	Sample_157	Sample_35	Sample_176	Sample_97	Sample_221	Sample_244	Sample_210	Sample_229	Sample_179	Sample_115	Sample_248	Sample_113	Sample_253	Sample_13	Sample_131	Sample_58	Sample_2	BPP15	HPP15	Sample_91	Sample_183	Sample_142	Sample_223	Sample_120	Sample_130	Sample_147	Sample_76	Sample_41	Sample_212	Sample_70	Sample_108	Sample_164	Sample_293	Sample_74	Sample_230	Sample_87	Sample_71	Sample_20	Sample_200	BPP16	HPP16
1	357.8315	3.50	Known_C18-neg_IS	585015	579298	586132	570040	579073	582539	583210	573362	591998	584228	580715	575382	557871	565214	572487	568105	554046	567144	579050	560111	570897	560042	559399	572431	562944	591257	567375	573412	583756	567985	558432	555462	556321	542676	572729	566863	557661	549420	540182	542086	534321	556301	526916	563071	507801	504182	550486	529323	527001	549462	535616	524332	508461	520688	503718	487128	505654	481829	478391	517713	506032	506546	499764	504659	497420	515744	512186	486940	508905	505278	530308	496399	505905	497716	512715	489679	502897	492060	492307	478487	466027	477831	472341	468064	480987	475883	481466	501064	473874	464210	483192	470766	486624	490109	459375	452868	478405	468594	486356	490980	483707	478000	499511	491567	491451	478565	491526	489055	476575	514992	462841	447324	465209	475074	475433	476415	474974	467532	471505	466752	472422	476301	489914	474569	486622	475668	451541	470400	477041	469488	480305	472423	473954	469825	477558	489216	479688	490264	467939	498637	478502	470606	470141	497300	474555	439370	483661	492077	483911	490187	487390	498578	482760	495806	494632	496634	498888	494019	528514	488440	491906	491283	473673	499181	476677	497725	464948	476634	479341	477279	494821	474682	471603	486198	473189	462313	504940	471520	479057	462729	494613	492825	461097	461221	486745	492475	491274	477552	512124	500680	512345	500169	508628	500841	524708	498041	499480	494289	469804	489712	487198	519255	490966	513828	512592	505416	507580	446684	508828	488890	502422	503453	513974	520929	517582	507371	544139	522033	533598	528977	510431	514348	538458	507826	508737	527479	513702	541123	509690	499658	503275	506925	506635	499317	508111	512608	518919	469026	497175	494235	508754	507045	500566	455041	516297	516445	501413	508374	506469	502563	491953	518823	485099	507186	526461	520744	502151	510790	500275	519414	519561	492809	513360	490922	486963	446264	490837	493093	491874	492262	477550	503923	509595	503745	508865	512956	509000	505221	503285	522733	487452	524587	515189	509554	507123	512252	504434	479005	546956	513700	531306	512193	483138	507322	509691	488168	516949	518734	514054	534686	539717	546393	533503	515740	525154	545791	543127	556852	530321	514823	545417	525635	532601	509453	526888	550672	540580	542664	513238	573370	538965	582024	543230	571815	532367	552333	562145	540281	535116	547261	572982	581906
2	225.1615	11.55	Known_A		191066		529162	283828	125352	215464	88426		145985	146211	202733	195225	96049		59997	172454	90281	252131	255355	132708	158299	187893	191066	211560	223763	217434	182871	231292	201475	116498	95719	106898		137366	70036	96205	162873		100837	92888	229053	137748	62912	72824	98962	112949	257419	159658		184577	287468	176124	240820	136966	202328	187037	128994	114680		133954	117265	86837	99978	74363	91462	149470	136058	164289	99840	115850	134473		122045	163345	96323	275653		144562	101159	239448	104352	95301	63580	57028	105477			85689	80490	226372	82855	233305	230815	196735	171874	103616	185740	92747	130425	128261	315726	194057	58642	78163	115782	123417	95617	196973		125087	93369		102860	132851	112966	81629	89040	74225	120111	67751		107621	101621			66724	215792	225152	91257	113445	179950	125123	137977	248386	68336	147643	86589	100310	122664	117621	140161	116004	79490	74532		149959	202939	63332	125764	161525	91208	120807	67352	119882	97418	157647	116908	109605	51162	195755	84405	81906	90932	201181	114146	96861	149512		91875	130509	164524	94500	159477	124340	53371	111048	60076		147276	71150	130169	73194	126303	142801	105180	159432	77591	143214	70093	150069	82592	89040	141855	84595	85619	119563		171740	153704	180580	64946	130636	163472	125308	95014	147858	152717	67131	125369	116814	157351	111122	328960	134688	229701	201403	54435	162625	211617	109825	157393	139066	168770	227832	147775	166103	153661	45525	109196	164973	93492	131714	289629	185705	206563	151436	209656	123457	192262	223304	182667	256639	121299	55287	281870	150842	102737	77397	201529	92288	67782	150125	212643	126012	216549	216327	149678	136997	162078	78562	123001	107262	123471	167735	144935	146866	114941	135389	111122	183270	98818	234901	86434	144354	106943	273768	199923	123543	152933	120353	107644	139699	60009	46669	90750	155621	176744	135956	98026	98903		121400	165617		99622	180852	298396	276038	61989	264754	84102	151414	81357	209601	109395	122303	201078	157114	171993	192491	188891	550424	176471		83719	133752	149904	117713	109012	143226	235356	226835	201566	131465		154717	220933	323900	114503	218212	184450
3	273.4110	12.09	Known_B	25027	15861	41906	26713	20581	7430	34827	5700	11331	35543	6826	29309	47133	13324	10205	10014	7067	10564	22865	42271	8559	10207	37159	24394	23629	19037	12826	19353	47303	39472	12417	22920	14739	4776	29745	13077	4069	14312	6433	4120	21585	39564	5208	5503	30807	21911	15100	16941	8213	5771	22670	21435	11993	48953	7578	45997	12991	26718	21072	3386	17757	3938	15524	9351	10422	10496	31524	19245	22215	5538	4538	18552	6014	6510	22369	10329	32213	8775	22829	17268	40744	7818	7469	14827	19379	14802	11045	750	28852	17763	18017	3152	36636	18573	21740	26475	11084	12605	9373	18666	21869	37538	22774	3620	31609	6360	21869	8112	42271	10472	26251	19493	6837	6482	35224	17928	5244	8992	2168	33354	16139	7754	33338	7609	2573	4856	25733	29244	11922	11707	41395	28934	25056	16791	32710	10803	26991	12913	17011	19955	8115	5070	22173	17041	25432	3926	29874	22283	5655	7299	23349	15635	16786	19568	31668	19133	10186	13079	23115	11397	32997	16864	10802	15963	37630	17169	14650	11334	4190	21256	6791	21880	22673	9415	10102	20757	29145	17861	1834	44422	5089	28057	14658	13827	17372	15547	34758	13790	25084	6961	45214	22469	11633	25000	16611	15017	25292	9440	30537	26425	16768	7140	25156	18127	16321	15383	16553	13460	4543	9000	7734	25420	10518	68871	21888	64521	17715	3204	11704	23923	32172	22218	31732	23697	35378	23988	16947	38945	2948	5414	14099	2616	25156	40043	21683	32633	26672	33129	26494	10298	6145	22412	41937	21773	2910	10528	31966	12910	12259	36429	20387	16494	12497	10184	7783	20863	17805	27720	23264	37415	2840	5668	17616	27481	36756	27321	13240	2419	9523	11643	13784	12766	39856	11658	12853	8621	44843	32342	23001	35666	15682	21792	25503	4566	7347	13345	42597	27676	28083	14561	3106	2406	22819	27623	5929	19655	32676	45382	33722	3695	14340	4302	25679	6425	47382	23121	12151	24745	45449	23792	29034	13804	110494	33973	11684	24327	18385	9389	16349	17956	32820	32994	29431	58478	10262	57368	19911	27861	45313	22097	41631	30931
4	328.6631	11.79	Known_C	35435	87390	152451	73804	36216	25537	44519	41919	42017	68063	24621	81128	202584	45517	25493	40319	41639	29214	67868	72476	57865	47103	29642	73565	128083	96267	76220	54864	234147	84121	42744	98768	30517	35393	72716	82593	41138	148160	34515	21673	71511	77723	87677	24015	31978	68131	63540	99478	41135	38870	62753	58763	55797	104181	45370	170591	91191	67828	33336	18566	38572	19556	42381	34110	25863	95192	28357	57485	40812	20382	45934	71831	118179	29172	39959	40669	290384	73383	68077	68980	146290	30555	21700	77868	36406	120188	21921	9904	24906	53751	70498	32949	127475	79963	74148	51230	54544	114295	30914	28470	58327	161892	49744	23743	101530	25783	55857	66676	144728	30875	23141	61492	13313	25860	103897	96807	21645	20928	14348	71586	31124	18642	32417	35230	19013	19134	50811	100513	89110	36341	172164	66152	23196	55688	173704	23713	147543	35475	62209	139036	29807	77942	55563	26489	32389	55566	174736	49773	45192	51812	36140	52859	42652	37110	26144	62007	45992	25220	103263	28863	46450	25071	68422	24473	72685	57182	42290	63899	16335	37269	39254	53725	37333	51467	45030	39498	26334	56435	8798	109297	64948	43496	47631	34597	28080	88266	112170	39943	75021	28472	156686	48267	28954	170236	34248	42207	86865	69915	27546	73353	70854	36136	36130	141296	40531	27364	63659	69793	31781	80774	28909	45008	13062	313691	45660	319802	39565	18437	47812	75523	25363	62163	73865	189720	57566	77165	38703	72287	33874	45910	56934	16801	70021	77098	111042	154755	73482	146694	99338	45112	46333	92113	49869	72458	13091	76494	57725	32338	27998	73283	58746	44631	46179	64874	30795	87247	53256	51029	82291	71742	18277	68287	42759	57890	40951	71254	31092	19550	38159	27872	35275	72763	182973	32070	66806	77248	87715	74800	89250	158113	45108	33884	34750	23188	40601	27535	46110	76216	81215	43786	9375	13328	69185	62711	22175	43821	63859	77379	96042	43531	68536	29350	78689	29388	96765	37767	48470	204832	45813	70269	79227	77453	220051	92049	56117	32133	67731	51580	71645	36077	92111	78696	68810	259784	34988	124912	72907	39856	112513	89699	40120	86695
5	338.1141	7.93	Known_D	657551	229	14	115	155	195	1994	652	146	418	65	372	387	182	273	356	59	269	289	106	465	276	625340	272	710	103	73	149	496	548	152	475	214	12	22	301	410	410	45	847	64	220	500	444	593028	290	25	393	217	448	655	221	1251	1374	216	415	81	159	198	136	212	13	168	94	81	335	586894	305	91	103	251	109	489	177	241	103	1191	69	99	85	205	34	315	411	226	324	177	316	579864	275	92	212	427	52	67	296	10		166	251	113	286	112	173	118	237	29	321	156	31	544228	299	91	225		67	193	125	879	211	191	63	110	34	188		184	282	448	62	410	84	515461	207	637	12	248	123	58	1258	301	136	317	258	78	476	338	10	202	14	209	94	105	363	574108	218	423	19	44	228	76	179	405	113	244	183	132	28	32	143	437	31	21	277		216	565014	246	146	88	86	189	377	181	44	158	368	607	38	10	170	297	361	546	37	416	111	202	590453	315	257	75	9	216	185	36	200	187	109	406	56	44	82	425	231	5423	44	46	23	88	584227	239	116	485	108	240	514	10	189	302	167	186	238	182	69	162	199	465	79	277	242	3875	294722	323	181	347	353	735	3868	285	228		506	320	71	529	194	187	43		65	3626	213	246	266637	252			121	161	732	124	259	29	102	51	143	341	78	572	90	279	79	138	198	165	270514	285	169	218	107	172	51	38	294	146	126	107	64	514	139	115	69	52	304	314	297	290	285904	229	589	390	387	312	135	312	157	563	60	210	319	292	262	721	422	831	219	248	296	90	262675	408
6	199.3902	2.49		325	942	561	1829	1157	1174	1115	3964	1185	1414	1038	730	2367	1708	1018	1052	1049	734	700	872	1132	975	710	1360	937	767	1921	708	1640	1191	1709	716	467	215	155	1479	584	2279	1139	625	425	745	303	485	548	721	1115	958	936	557	604	1906	655	211	395		597	517	330	484	381	503	418	162	679	583	475	597	350	273	498	215	325	102	417	474	352	526	547	323	393	154	1018	786	424	390	337	309	363	476	1128	471	525	200	496	303	376	653	687	514		263	448	213	545	492	602	270	154	302	236	334	236	394	324	815	345	307	263	238	540	350	865	239	629	372	780	384	456	220	214	72	140	323	979	731	392	529	382	140	409	346	406	186	67	397	113	350	67	270	270	99	216	270	304	438	890	371	368	838	552	212	481	30	222	165	209	130	141	249	241	516	131	267	308	296	318	415	406	99	65	318	81	236	163	31	237	76	137	497	329	424	213	716	511	503	301	293	413	354	334	256	222	343	296	293	375	266	691	149	155	105		256	233	373	127	114	333	327	340	405	89	842	587	272	186	247	332	474	627	127	374	250	492	434	349	1046	616	378	244	368	709	512		10	289	314	73	293	107	132	745	187	52	756	267	156	202	138	444	159	375	366	413	482	748	106	110	31	17	163	15		162	13	72	32	51	199	21	55	64	57	413	190	345	185	499	309	29	364	222	142	27	57	21	259	223	133	285	162	156	287	438	19	180	315	356	179	305		172	287	128	195	197	202	123	146	245	12	154	81	31				12	82	176	248
7	198.2079	0.78		92826	286442	184833	485399	265000	325403	324766	1110029	218656	358341	229361	169080	787546	353412	211457	285405	381421	168779	178917	228176	341258	311686	108466	339533	223979	151473	754672	114833	610790	308672	636582	156926	83634	58510	48075	454459	140181	824019	295138	125572	134951	230575	54066	161647	96374	293688	655280	321553	444441	237328	207453	765868	129455	36717	121480	35964	309628	245351	136536	224934	122142	226076	203797	92547	415265	233325	86069	267747	177565	101514	238908	113566	157906	93988	347251	205708	78795	230041	331798	84702	272070	100551	895525	552601	76510	172454	209366	162604	84321	253772	970423	158605	344050	98023	612185	185967	237243	243813	371145	287569	29730	207342	272776	100350	437991	293340	411174	58523	86884	339076	74032	241009	159781	382531	218046	668859	268688	122224	147700	195944	450619	191993	580568	54387	314935	233533	691250	174165	262209	101258	122853	69656	72689	231155	523360	360258	203346	365141	222594	69173	308533	318546	271506	64440	57490	108956	131507	350195	79318	238036	216184	68967	177756	200037	82841	255606	662731	252011	234104	711245	407056	38672	387985	51177	101195	112786	135656	108833	141578	262109	153408	450152	83636	285179	416685	294533	80096	229795	147693	65752	100330	322875	73657	145518	152612	28482	330821	122677	115278	590170	281702	416973	163975	508649	324309	326497	159203	213722	83368	290278	284753	180016	162191	321245	318002	309820	389703	221518	654511	66111	85087	108614	35330	357529	267539	314199	219483	227783	316156	292911	84171	278820	83451	1143555	427873	161905	130385	216185	367509	368477	459822	78890	399354	220922	417260	471667	297118	666015	329185	357399	200373	413807	338104	248160	33081	77344	268839	188333	161479	411144	136701	172709	719820	117572	41808	1333438	231973	183565	240769	213050	496094	274702	530952	418355	325396	336316	966587	61682	272180	207613	239005	508087	129128	98296	413316	139163	250965	152714	267598	308263	25904	245136	156181	255266	469072	58019	314644	294043	884295	257918	76640	466667	211978	206828	152155	207057	137908	374129	511264	167630	403992	390106	331769	496242	390972	148670	280113	388999	345345	288383	395721	21705	371455	490345	204393	323912	477167	595983	222594	178721	385577	156112	323169	255363	177396	158513	99464	94140	64476	204265	311877	365209
8	197.5537	1.69		2449	1653	466	3057	1836	6531	15000	3103	518	6416		5074	3101	6021	1004	2584	1895		141	284			1834			1083			7680		214	1795	5452						178	2475	589	11235	987	1636	2293	1544	218	11494	3699		12884	1772	855	3708		2870		3259	413	1422	1699	1790	341	136			4654	2685	3944	3065		148		10900	2604	294	25179	1687		128	6972	638	1287		1517	8017	2116	75	4133	2814	150		5289	3068	76	14600		968	2785	1896	137	4213	1824	2961	5638	172	1633		6889		4796	3213	3829	7657		118	5493	3076	6515	6853	5574	5373	7825	2357	6019	7859	4239	8549	6038		6170	2811	4523	3653	4979	416	1372	626	3745	947	1474	671	3854	7435	3608	6092	5724	1213	2986	277	4198	1534	719	404	5382	3921	8271	3793	6762	6280	4104	5987	1530	4224	4648	3150	579	1661	487	1708	7382	1895	1737	1732	2805	4156	5674	4065	2480	1580	1569	1102	509	3772	1973	797	1262	17868	1208	710	3318	2314	6037	2308	2837	6178	990	3084	5310	4841	4128	1708	1500	2411	1076	3331	3250	2078	1084	1156	502	710	2596	22290	1127	2050	3125	1620	1069	3256	5210	4111	1197	1415	2744	5688	5694	1463	2177	4508	596	1445	2736	4723	5027	3586	2180	2431	1669	2358	6651	4084	1474	3647	2459	20459	4128	1871	1848	2289	2179	1400	3525	8236	3547	1147	9458	2057	3120	1222	2566	2872	2435	1803	1514	4368	1275	1353	989	1507	1806	699	2017	4973	3274	4347	4837	12673	862	5763	4011	2319	6122	968	1976	1457	1499	4366	1160	2736	5821	2779	2984	655	983	2151	6007	8724	1117	3043	3933	9178	974	722	3747	3561	2935	1864	1550	3982	7163	9840	36672	2659	2493	2275	2183	3259	1777	2271	11845	1460	1377	15805	3295	3263	3356	11371	2580	840	2181	5954
9	202.4783	0.31			13	9					373				37		25	7	3			124	447	992	1140	749	32	916	1257	968		389		35	15	558	1268	8	635	24			8	6	16	226	42	1090	552	954	378	408	284	588	771	759	693	73	320	243	363	233	334	385	407	366	376	1212	171	480	227	425	350	372	293		895	355	16	877		2		6	735	361	385	246	315	406	315	280	202	335	366	14	414	530	412	19	956		18	15	27	8	8	11	14	49	6	8	260	549	313	262	223	99		19	7			17			31	12	6	15	18	4		10	67					2	14	13	7	3			14	11	15	10	37	30	43	2		9		14		10	21	11	33	28	57	9	8	10	5	386	102	234	423	217	448	51	20			7	37	47	7	56	41	28	21	10	34	813	1136	703	388	2	36		647	120	63	32	1265	443	504	554	82	643	570	338	249	273	312	294	452	410	132	139	761	523	785	659	1114	926	1386	824	1183	1186	376	419	319	360	250	267	468	248	293	345	286	389	400	810	1071	281	979	782	908	573	889	515	679	459	216	389	632	427	351	265	677	65	228	794	696	1138	291	1040	274	270	347	435	345	300	404	367	262	72	368	625	403	269	348	239	346	273	261	315	229	412	532	361	685	1040	976	382	348	899	327	336	265	474	372	408	625	913	1011	429	436	385	372	370	312	400	510	246	317	308	247	216	481	439	367	331	298	393	595	664	865	14	357	261	563	269	457	346	985	165	496
10	200.7823	0.33		793	584	792	620	489	402	427	402	550	743	440	426	380	355	504	292	257	363	686	488	406	560	299	419	409	374	402	403	562	265	451	552	423	393	552	403	460	600	394	375	531	225	488	476	338	227	259	267	474	320	243	453	295	246	246	475	610	562	421	323	398	499	549	386	364	396	243	401	312	610	401	272	62	319	319	396	376	425	436	358	420	645	335	452	448	546	351	297	340	373	469	474	156	488	274	285	107	442	365	203	365	240	201	334	382	185	259	183	257	429	361	188	267	257	416	332	379	455	429	240	208	307	452	278	203	237	322	295	289	336	264	424	292	389	354	289	388	202	189	232	332	473	272	358	264	331	545	304	361	319	337	381	334	279	240	307	224	302	241	294	277	203	455	362	410	217	342	365	443	411	703	727	581	482	658	892	462	372	334	384	596	678	290	263	231	389	570	275	602	558	398	505	326	867	527	456	680	1236	636	617	868	479	464	784	441	501	751	542	953	572	656	433	632	712	446	728	498	756	659	712	662	436	359	602	435	343	466	608	564	405	298	627	747	559	482	477	434	460	547	662	724	449	718	462	555	446	548	783	722	1124	517	694	552	650	376	812	436	969	934	670	1118	807	817	755	671	1197	860	823	842	596	693	2683	3225	802	2928	1546	1707	1983	1286	1256	1253	2162	911	876	872	2515	993	1084	787	849	781	532	744	1115	651	1020	998	1042	2142	2817	1424	1402	640	1262	1728	862	917	712	990	1102	1612	1554	2168	2051	1661	980	1359	1126	1907	1910	1431	1552	920	1602	2134	2428	1887	1682	2008	2531	967	1265
