Compound	m.z	RT	Metabolite	BPP01	HPP01	Sample_246	Sample_21	Sample_66	Sample_281	Sample_175	Sample_62	Sample_125	Sample_295	Sample_170	Sample_193	Sample_166	Sample_12	Sample_213	Sample_26	Sample_54	Sample_161	Sample_225	Sample_121	Sample_40	Sample_296	BPP02	HPP02	Sample_189	Sample_128	Sample_31	Sample_233	Sample_119	Sample_78	Sample_167	Sample_291	Sample_72	Sample_299	Sample_100	Sample_111	Sample_56	Sample_134	Sample_15	Sample_190	Sample_67	Sample_33	Sample_82	Sample_294	BPP03	HPP03	Sample_268	Sample_196	Sample_276	Sample_27	Sample_205	Sample_235	Sample_49	Sample_203	Sample_300	Sample_156	Sample_73	Sample_133	Sample_174	Sample_47	Sample_86	Sample_145	Sample_282	Sample_93	Sample_243	Sample_18	BPP04	HPP04	Sample_292	Sample_231	Sample_177	Sample_136	Sample_122	Sample_92	Sample_267	Sample_16	Sample_152	Sample_22	Sample_240	Sample_297	Sample_191	Sample_274	Sample_102	Sample_146	Sample_132	Sample_227	Sample_6	Sample_181	BPP05	HPP05	Sample_252	Sample_19	Sample_287	Sample_242	Sample_153	Sample_199	Sample_124	Sample_140	Sample_218	Sample_270	Sample_81	Sample_163	Sample_272	Sample_50	Sample_261	Sample_36	Sample_137	Sample_158	Sample_288	Sample_44	BPP06	HPP06	Sample_117	Sample_1	Sample_8	Sample_247	Sample_123	Sample_269	Sample_116	Sample_232	Sample_65	Sample_138	Sample_48	Sample_68	Sample_55	Sample_150	Sample_101	Sample_151	Sample_162	Sample_24	Sample_34	Sample_224	BPP07	HPP07	Sample_10	Sample_79	Sample_259	Sample_254	Sample_144	Sample_118	Sample_53	Sample_251	Sample_184	Sample_289	Sample_103	Sample_186	Sample_273	Sample_263	Sample_182	Sample_4	Sample_42	Sample_262	Sample_109	Sample_127	BPP08	HPP08	Sample_250	Sample_80	Sample_51	Sample_178	Sample_255	Sample_149	Sample_286	Sample_5	Sample_249	Sample_168	Sample_256	Sample_245	Sample_84	Sample_46	Sample_298	Sample_234	Sample_129	Sample_99	Sample_29	Sample_38	BPP09	HPP09	Sample_69	Sample_143	Sample_104	Sample_209	Sample_85	Sample_239	Sample_264	Sample_275	Sample_14	Sample_139	Sample_63	Sample_278	Sample_185	Sample_216	Sample_228	Sample_77	Sample_64	Sample_204	Sample_94	Sample_114	BPP10	HPP10	Sample_98	Sample_257	Sample_220	Sample_211	Sample_107	Sample_202	Sample_241	Sample_192	Sample_222	Sample_195	Sample_89	Sample_30	Sample_110	Sample_61	Sample_266	Sample_155	Sample_148	Sample_180	Sample_141	Sample_198	BPP11	HPP11	Sample_75	Sample_214	Sample_9	Sample_23	Sample_112	Sample_187	Sample_28	Sample_169	Sample_37	Sample_201	Sample_17	Sample_90	Sample_172	Sample_83	Sample_25	Sample_283	Sample_260	Sample_237	Sample_154	Sample_284	BPP12	HPP12	Sample_207	Sample_57	Sample_238	Sample_52	Sample_271	Sample_135	Sample_96	Sample_160	Sample_39	Sample_258	Sample_60	Sample_59	Sample_197	Sample_265	Sample_105	Sample_279	Sample_88	Sample_226	Sample_173	Sample_45	BPP13	HPP13	Sample_126	Sample_208	Sample_171	Sample_159	Sample_277	Sample_7	Sample_165	Sample_32	Sample_188	Sample_194	Sample_43	Sample_285	Sample_215	Sample_217	Sample_3	Sample_236	Sample_11	Sample_106	Sample_290	Sample_95	BPP14	HPP14	Sample_206	Sample_219	Sample_280	Sample_157	Sample_35	Sample_176	Sample_97	Sample_221	Sample_244	Sample_210	Sample_229	Sample_179	Sample_115	Sample_248	Sample_113	Sample_253	Sample_13	Sample_131	Sample_58	Sample_2	BPP15	HPP15	Sample_91	Sample_183	Sample_142	Sample_223	Sample_120	Sample_130	Sample_147	Sample_76	Sample_41	Sample_212	Sample_70	Sample_108	Sample_164	Sample_293	Sample_74	Sample_230	Sample_87	Sample_71	Sample_20	Sample_200	BPP16	HPP16
1	618.1088	6.77	Known_C8-pos_IS	846442	828077	858523	868081	868475	883721	837261	836875	820569	900445	892329	870594	811642	827842	842919	876199	877748	873851	843611	887455	881763	853890	873032	855431	850403	833799	844850	848371	859713	830175	811267	826972	826688	824057	832957	869970	838501	852613	842816	868472	832162	830621	853631	864592	862699	800610	833977	973728	835775	892686	836269	792933	825034	902936	823516	798031	864121	823262	810817	814144	840166	880886	849166	832573	863039	760153	818970	790282	834496	861430	822120	864820	819329	912678	876439	906277	845000	863603	808989	875970	865835	849809	938770	903563	880759	924476	853421	837276	868844	887672	854344	870708	888014	901976	909333	886613	912415	876780	845879	887270	846295	895147	804681	843328	830102	919475	904729	886394	844739	876233	886843	868580	863904	816940	862740	899987	843986	876869	875124	817929	828440	820432	830939	852565	893839	878864	826036	864679	798708	841774	806133	882627	795567	812963	859388	843344	879576	845236	844185	896039	862067	859324	840864	892767	843332	853861	855301	886486	838628	908413	863812	850433	885554	849249	876493	891223	904576	850584	919588	848313	911227	884238	808119	831691	854611	842198	858993	894322	914475	860897	845523	806750	870959	830983	862053	830326	857299	881563	801149	837392	962759	915638	890987	916484	848199	939598	830449	870061	926343	852131	820131	867090	822456	854573	880212	1024882	983005	952334	893728	888215	919191	894840	886721	933066	945835	970485	901400	956524	894477	978129	913144	919451	949586	872962	941315	941437	945885	922450	922805	917248	939630	935235	894384	953592	956030	909436	936137	937891	932691	930227	919375	989692	957423	971341	954723	946063	969612	985590	960565	926660	1017564	958542	870407	859868	874532	1009492	871563	914188	940169	936463	935473	922660	1010735	961665	879471	873928	925765	908628	896445	884688	969030	884071	930077	936166	899194	896525	960648	885707	849728	818413	878632	854253	962318	853906	932985	902880	875196	974694	975572	902346	900111	961179	928666	898849	934963	838758	986004	965625	870318	911988	883991	832680	919640	909935	997260	885332	890844	945826	992423	873668	950097	890015	827368	908229	860430	942931	947327	820381	842128	944668	840351	816123	887195	890514	774066	902832	898316	862465	861758	849156	749717	926715	771690	773994	899053	843726	979774	870243	902075	819284	966275	819934
2	496.8552	4.67	Known_1	256241	279877	199354	370731	187756	206194	121508	257299	216567	213493	223159	281047	184084	278473	322550	246595	467110	208936	144650	185836	292084	209281	253143	271367	279480	187650	123106	258898	332868	255019	195362	140385	205457	235521	306927	211009	177734	714374	322857	434051	303617	282868	286468	286881	240979	269124	317380	290096	310815	246109	118670	274895	316296	162515	260879	229651	331670	206281	205814	272571	275324	427776	261786	245348	413498	284398	235193	270298	120120	239648	174651	234905	325243	196098	263058	285514	391674	159170	201929	149965	335407	275428	236094	424448	41308	193765	228130	225302	240613	293241	642210	105511	147598	240139	263538	192752	335959	453746	139577	155137	627040	241541	442489	335854	259062	167476	523566	234718	242313	236097	252592	280335	251457	269544	285731	271194	268770	295621	425093	314530	421475	250169	296801	114383	253798	468606	275312	157949	248516	348944	203509	198934	234125	236904	593239	252462	302786	311954	233621	142607	131611	207493	289477	144495	246372	931748	265979	365106	189004	218414	202896	165402	152976	143150	259444	276260	204192	252795	199321	258647	296544	183139	211237	231078	343746	252836	176362	201888	208791	201953	290518	897667	237100	240727	457426	252234	236689	258390	280081	222421	223198	213565	157322	229932	202429	153822	149471	131594	116214	420116	167066	336790	192062	415809	171704	192196	298609	208914	236057	251498	174633	142356	123610	217999	330627	451916	229194	368250	162954	220842	143226	416510	231887	223317	115023	261410	216083	186771	418738	253710	245538	265016	283395	204530	385797	400734	261703	348428	713922	442468	224151	195023	290748	287143	199539	412931	202932	155761	301064	375641	258291	259238	211448	249883	177787	243085	264670	91413	325192	216743	191977	184908	484977	199302	158660	309231	202718	349824	205974	293151	369680	127228	328788	381236	227825	256156	309882	318922	221848	272898	325811	195919	291979	258642	263839	148089	109265	361007	237394	147027	159325	194695	203803	172693	280023	129272	272023	277516	392493	310913	370584	240591	289373	300860	204729	312206	311150	265834	123452	365074	343465	433656	515046	378000	154197	213756	213311	228321	272514	293185	356967	214439	177818	492014	190032	214947	304209	366610	191326	166387	168517	187218	268527	181168	343366	128407	94074	76898	99301	281530	243923	274416
3	480.9262	5.25	Known_2	42204	67990	10445	78827	15477	121181	61157	36082	39599	53834	50524	95904	32580	96022	149534	30862	134334	32612	47074	39635	49321	47371	32682	58141	20373	22495	6694	135164	54713	50399	53719	36095	113045	67483	69284	15573	37660	76345	122136	124877	96259	30395	181286	108170	37039	65820	55929	75198	117332	110799	83259	70259	59112	63070	32367	22973	9819	28965	105555	83583	153630	86735	77379	129847	91036	31084	31759	56636	41678	55502	27194	35727	65828	152286	107740	117297	55296	12662	28362	2156	32189	105676	102418	53491	7513	24252	106478	22190	34982	60869	81742	18997	49878	119863	37389	73201	49603	24721	96001	41240	46667	33429	44594	80998	16648	36036	172954	21611	34005	27714	32202	57632	102451	78743	32512	12613	103903	27488	81532	22262	38051	4592	122169	21465	104139	43314	27995	23209	60924	11320	4492	33316	15690	17439	6386	44421	17347	52134	14337	21525	62818	66270	86792	69224	64244	171559	14308	88776	27833	44201	62129	18307	44268	95971	36955	53595	132617	63214	20122	27126	86985	24228	40824	22288	110049	40591	21102	15355	6435	31069	22801	69205	31171	41906	50882	23849		2130	1068	48436	23443	29084	38084	30957	67960	1578	23582	61742	14481	43275	3362	45602	32187	37098	59807	53555	23037	6969	36438	48224	23227	23395	15177	6459	61104	71280	19463	84179	18061	16299	21781	13354	91984	13487	1960	17259	35746	62849	84216	29855	33510	48138	12482	11111	79632	69370	212456	42688	83221	53529	13570	102786	16094	45448	41480	34447	39427	30451	21830	26005	51828	36219	18492	57531	52340	132298	26611	20448	93378	40002	44288	34620	125264	18037	25141	21407	64809	29379	23658	10650	102053	12289	46621	43080	31144	52973	80028	71386	13756	122970	107646	20517	7811	26770	52053	38279	16868	169410	11656	27231	49199	56931	68821	11163	70439	42101	34423	56977	56190	70125	102766	37222	60729	24610	40693	17068	11744	11910	6604	83089	53578	41264	131486	32913	50241	69249	183604		31636	46575	44075	74191	19872	80435	19758	69814	59622	75604	17448	46946	52675	18015	29846	38272	29482	249064	1512	1894	34125	27366	29133	51180
4	918.3490	11.27	Known_3	720	36210	15350	64466		1990		19611	61859	9207		34901	15604	21367	2588	1743	2416		1683	13674	116715	1314		31999			35189	1406	158319	14647			3125	9353	35082	108513	25811	498569	65259		42942		46764	64686		33199	6391	44939					23792		28009	15049	69574			1861		16606	20879	3009	26112	26315		33444			29505	1370	399977		43520	10027	7803	1444	1395	3310	8387	10113		118021		4950		27588		29222	102993	2355		22620	10375	1265	20985	113799			3899	74630	3491	1085	1029		24403	209168	62199	26316	816	24453		29896	34601	51847		9181	1071	23284	151358		63379	12450		11013	51364		307584	27490	49389		12292	20682	113748	991	83905	1	9195	197236	3482	348908	95900			19536	82395		21562	17628		15520		2525		36036	972		56416	34061		1348	58280	14046	7346	4251	83238	4794	5867	5826	17726	2099	6138	44123	52440	1282	36267	11669	7665	10589	38129	1732			4038	29387	133730	144573		50855	136138	129358		286428			1238	492178		30858	7721	26649		608874	26451	10963	160056	498237	69434	1906		1877		25130		417367	16713		77090	156577		36482	1474	353396	30118	10553	8467	1188	7297	4104	31058		43666		1515038	201432	35004		82147	15951		59506		29115		57828	1586				7212					14687			45623	30716	3284	83327				28910	1166	34420		25032		63957	104393				955	9656	21076	879					3615			47854	75544	18505			107250	1897					11235	125927	21746		11851	4786			29960	108484		28684		4123	1076	220588	39927		85264	132932	3678	1057			44056				4929	9		133201	6	29114
5	953.7743	12.45	Known_4	2769056	7520321	6573302	9276124	8105646	5605991	3046421	8484446	6690755	3689308	1938835	8550937	14432774	9149278	4185763	5849131	2547431	4964263	8427623	4755394	7636808	4649031	2802743	7904746	3123964	4663393	6585588	2385083	4593981	11868852	3065515	4459854	10311961	3607448	14453792	7999879	3760327	12429553	5848669	3346127	9398212	4448396	6707589	11657661	2955632	7380917	3755029	9389409	3781482	3192967	3319317	3998369	3611094	3610137	3750987	3286100	6479003	5758841	3784170	4350411	5837621	6503912	6679677	3844057	10675388	6775162	3003170	8266665	6939889	2799205	7994420	4015062	10412375	4962726	5577486	11567872	4583515	6763638	2128940	3383732	5734253	2693941	5082651	11029729	11884500	5714924	3963227	5435185	2830187	8490668	14169092	5289995	2125781	7026600	4318378	4432317	7976443	24553886	3902197	1891384	6629629	6262727	7518125	3601914	3171392	3511816	9096422	11759405	5049443	9773344	3079493	8306150	2979871	9168481	8352071	12502293	2358861	7946720	7097928	9018986	23858075	7600066	14976487	7963157	3427973	9753915	11837544	3017734	25711184	10297941	2486273	3615627	3041068	7554270	5474179	5508678	12340848	12541967	6425672	3792666	3554421	20608542	30745879	2624161	3221877	10270845	5122546	2894456	8272867	13353272	4283418	4176836	4132880	6181415	3340468	8262102	3517186	10221886	9091666	10476647	3464460	16168695	9391462	8269494	5051661	4338804	9617454	4762467	7721724	3975422	8273210	7079584	3139434	9633633	7801179	5826547	3202725	8459944	7042515	5708071	9902813	23391980	2616008	5169145	9083384	7732903	6763320	8204022	7102126	9124705	14401846	26510861	3357944	16069533	3648163	9236306	5910078	17790950	3572780	9949362	3731952	7945464	5056785	7129011	9848210	8339479	10789768	23501474	8389756	3349905	4003526	5212865	4396262	2934046	4382767	8960590	7630434	3959810	12346004	13559844	3417320	8393861	7603197	20736445	15964947	5067908	9484782	3265555	4795243	7577911	11684925	8754911	13027189	5928034	25672805	4414696	12372288	3478231	14758255	7272510	3281612	9851173	2657870	7753808	4949825	13803959	5002159	13135659	3577881	4677161	4882172	5381022	5921597	2108518	2369622	5836299	4280678	6299850	7181348	10841991	6665990	3119389	6046269	11845589	3344762	7403032	5903988	6087368	4158930	8537354	8044291	6373573	14481106	6293499	4211982	5458946	9540346	5696121	8774390	3715798	3369483	3317941	4525167	7973988	6010994	8165488	3512614	8241544	15272402	7769955	6300465	4952550	21711483	15599236	4433747	3446772	7030422	5008127	4220351	6342912	3864537	2371325	5156049	13874205	7746193	1720248	11550179	6230515	3796931	9674763	5345232	2316585	2452323	21169940	12830049	7790065	27081202	13517054	10289024	5882483	4774613	12668305	15927276	5239700	4468602	2023392	10515059	2797360	14901411	10414591	3390363	9060046
6	217.0914	11.35		2483	2040	2439	2326	2688	2529	3156	2752	2589	2950	2835	3368	3063	2954	3252	2897	2366	3207	3050	2764	2144	2932	2821	2302	2754	2747	3447	2978	2333	2670	2667	2653	2559	2569	2286	2643	2901	2102	2040	2355	2699	2950	2296	1802	2740	2564	2542	2512	2693	2594	2728	3014	2939	2770	3195	3066	3205	2893	2581	3687	2972	2760	2876	3190	2945	3222	2867	3148	3383	2976	3445	3043	2984	3060	2986	2779	2931	2547	3045	3215	3235	2356	3256	2615	2903	3251	3005	2164	2861	2946	2435	2745	2372	2636	3124	2719	2320	2911	2895	2691	2953	2871	2883	3492	2318	2530	2674	2341	1863	2237	2613	2602	2568	2782	2637	2160	2471	2583	2309	2937	2572	2396	2023	2250	2555	2418	2777	2792	2174	2612	2792	2759	2585	2731	2961	2620	2228	1982	3276	2557	2675	2264	2372	2321	2429	2237	2142	2412	2729	2649	2666	2228	2987	2284	2930	2345	2519	3029	2827	2289	2399	2791	3281	2751	1926	2874	3294	2586	2581	2703	2302	2370	2878	3110	2858	2700	2781	2606	2540	3359	3120	3362	3964	3375	3208	3468	3674	3849	3154	3495	3249	3512	3161	3360	3233	3044	2966	2736	2836	2739	2851	3096	3022	2517	3095	2988	2365	2046	3143	2430	2937	3141	2301	2573	2572	3188	2353	2743	3432	3066	2777	2574	3060	2593	3013	2535	2940	2598	2411	2785	3054	2459	2488	3138	3023	3267	2407	3099	2949	2748	2120	2071	2458	3348	2834	2286	3488	3121	3051	2874	3409	3216	3013	3365	2434	3290	3594	1932	2092	3130	3547	3147	3454	3243	2969	3679	3228	3068	2743	2902	3351	3543	3095	3678	2710	2869	3005	2594	2977	2856	3394	2986	3548	3160	3670	3395	3090	3341	1975	2950	3255	3537	3463	3165	2948	3492	3527	2821	3156	2631	3241	3303	3236	3392	3103	3177	3425	3142	3000	3557	2819	3024	2791	3093	3381	3386	2909	2177	3405	3371	2952	3014	3417	3304	3084	3250	3275	3390	2468	3276	2735	2965
7	221.0542	13.67		328502	323887	337841	333676	344476	353695	334969	333064	345230	353042	366396	357487	333755	346368	364606	355487	343755	361705	370556	351563	347001	361522	356156	339372	356489	369383	356606	347753	353503	364277	359515	339421	332504	358828	326228	319281	336629	341722	319274	321533	352362	343809	310911	319790	350845	332010	325588	339325	345715	331029	327870	364875	358420	348640	357507	384310	363278	351828	360163	369714	360208	342298	355221	386919	377805	365597	370027	362393	366906	372426	366159	371262	362338	351555	362009	351259	354982	342808	366723	366923	371053	364350	357799	347267	367975	365099	368096	361616	365281	360122	362711	376122	366023	354339	365328	356992	356524	357527	359338	367792	356895	372500	368089	368156	368192	360868	355660	344301	351346	341143	354509	340773	343567	337764	341137	343082	340862	338887	349672	337790	310848	324386	343546	355018	350238	343693	371426	377889	313459	349759	374414	365796	351299	346107	374604	378462	357324	343001	371034	363711	353326	350102	335922	371657	385342	360960	363934	367063	353828	354669	361197	358893	361086	363312	365717	352171	356917	368800	357988	347312	352528	372956	365222	356720	351915	379107	354888	343917	346399	368994	356988	343557	349565	368773	344323	326991	353044	358211	334281	504412	502198	508518	520739	515605	516046	521357	521786	514814	521760	517626	524097	502380	517623	509132	508109	387714	392354	415316	405418	414484	427412	405944	411494	413972	413820	416209	424823	422001	416656	435314	425664	431800	418285	419324	423490	416614	421195	423498	424283	430455	433910	432526	432195	430483	410089	427427	437062	437514	424352	438120	434488	433509	434332	429399	428675	425419	432296	444477	421891	435211	420577	412106	435423	433141	436797	425675	426900	417800	428809	437493	438545	450191	456720	444896	448889	458737	460761	460604	469606	489308	494920	492243	476001	486531	490477	473202	497210	484940	473716	476447	488998	503261	507315	499420	460377	434091	436768	447934	447801	472760	489189	513885	505617	492089	492179	486868	500929	492537	498740	488470	500845	490291	488285	493784	492658	499351	498927	503265	489701	473758	480842	484545	484627	478546	491831	491305	472851	485805	494713	487077	502675	494936	495314	465132	477317	470124	468443	477536	484942	486026	497650	487667	480984	493432	501992	493048	478828	495085	482709	486196	504728	490169
8	256.2495	14.10		304922	308021	316474	312853	321982	311492	308236	293817	310833	317212	323466	315580	292156	310994	315105	306411	300683	316740	322920	302556	295143	319295	311976	290855	312016	319310	300413	302197	313515	316562	311015	291341	288874	310660	281781	283813	285472	300945	278842	284326	302164	296044	272955	280186	299350	281014	276733	300331	295364	284930	282491	314767	302028	295285	303887	312823	303129	294958	301154	314670	298576	294408	301693	315917	305901	305623	304316	301195	304826	312930	300683	311462	299847	297403	305954	295986	293182	280318	303235	299349	301709	295147	285924	288792	302089	294302	293610	293473	298659	282251	291177	297514	299586	289423	287640	286833	287254	283521	291895	286639	289518	290069	289020	293646	286526	278820	277605	279738	282286	259676	282142	266663	271987	268645	264457	262385	259581	261130	274520	258476	244896	247854	268125	268168	263717	260195	272645	279665	240339	254205	272701	279095	251610	254806	276433	276297	265470	255437	273011	264458	259980	261333	250133	269301	274571	258694	268944	269660	269720	267375	264367	266579	269126	276478	268926	264734	272227	276288	268027	262909	279067	282989	278140	274906	272461	295328	277028	271227	269043	287982	282031	268664	273952	300343	273204	269250	290689	295984	275992	383703	383710	382027	389945	394298	387494	391809	391361	389417	395588	393606	387945	379152	385349	380046	377171	368322	344030	354905	341979	343016	356911	344136	351896	348932	341340	341221	358090	352443	344920	360210	357781	363703	342977	345637	351151	349432	342248	355085	354541	358058	350570	355608	357331	354190	337003	363289	363646	351606	354195	366680	369330	360868	360041	355282	348627	354419	356595	365864	345471	355970	350289	332510	347804	357042	349118	353874	349097	335293	344883	346222	351441	352134	360605	344915	348753	374557	357869	358950	369476	378667	380061	379562	374768	368811	372733	357844	363246	367968	352314	358386	372806	368802	381779	375185	350093	338255	329079	318922	334606	351639	357418	380904	370965	364539	354847	351133	370047	349023	364672	358260	367072	357857	364753	358738	353808	363922	370753	369158	360173	349208	352441	348376	361704	352834	371574	356789	347958	355499	367101	358270	364523	359877	371391	347763	355414	357876	347234	353786	356789	362085	359531	364390	353150	375866	378313	371472	365031	370538	365394	364988	380818	378241
9	488.0035	4.47		762514	645754	600934	605580	597574	598252	617714	643659	636014	651595	713974	750394	755598	788983	787685	864755	830509	832925	851737	901191	865926	837664	862574	839035	836468	835821	813021	853042	835184	857785	847822	869126	835713	847137	861417	867450	927625	907226	920051	895850	951881	917773	916612	937969	971742	933423	960801	966754	971315	1002382	984037	993493	996283	1039446	995735	1063670	1044119	1038085	1012870	1026793	1110071	1056865	1073185	1055287	1104106	1100419	1153969	1175464	1161267	1191770	1223567	1234431	1265695	1256333	1275352	1278239	1293292	1295405	1358229	1345661	1329834	1351306	1414353	1420081	1442266	1483847	1419779	1481074	1496004	1517622	1506252	1549314	1584744	1532862	1592405	1616653	1602721	1665476	1646479	1723127	1649093	1738914	1664612	1766531	1709213	1731378	1739513	1706777	1736594	1822596	1832489	1787220	1836901	1922986	1867590	1839258	1835659	1923631	1948929	1919084	1978549	1931949	1972496	1936629	1974220	1935075	2049025	2015402	1930387	1929154	2018037	2065074	2012675	1967513	2080940	2029774	2106439	2117201	2156426	2042393	2003707	2072651	1979072	1969758	2023763	2146479	2180134	2139010	2136066	2139135	2018372	2030740	2102237	2159995	2157415	2053523	2138002	2227399	2178803	2282451	2306654	2323731	2310538	2279964	2304659	2400018	2353142	2334356	2232915	2231899	2405031	2308452	2329919	2325469	2396844	2352926	2386355	2379724	2461877	2395216	2429614	2376997	2375064	2339872	2421255	2745890	2420235	2455457	2456850	2396075	2382663	2520216	2460178	2430858	2386515	2453934	2195031	2233337	2190805	2153701	2419440	2405310	2354802	2316967	2468834	2556188	2425214	2422227	2425962	2463113	2507031	2402984	2480159	2446579	2613325	2482158	2563796	2580903	2642413	2557628	2321520	2452616	2583968	2534518	2484476	2373717	2508673	2549988	2599939	2418255	2540253	2489885	2750655	2656745	2500855	2542201	2776763	2712897	2569229	2570343	2611276	2545779	2587650	2526482	2643047	2599293	2398017	2811499	2623399	2708291	2562747	2666512	2680434	2780607	2595742	2413574	2668707	2791823	2648910	2599465	2516132	2498768	2572015	2357078	2633936	2610489	2620658	2302873	2284214	2341359	2615689	2537793	2678173	2474059	2718543	2657880	2357378	2535680	2303329	2255561	2425587	2545765	2310269	2406729	2590463	2423187	2474601	2305511	2501078	2345611	2350994	2321604	2357860	2305575	2680235	2337711	2332036	2413403	2446983	2279591	2367758	2169675	2106860	2227522	2211484	2241967	2325618	2508358	2494417	2627591	2521201	2549234	2371145	2394912	2773010	2654840	2636787	2322829	2276850	2419585	2308976	2495647	2407932	2301613	2754218	2414389	2366606	2324206	2406746	2350275	2506166	2730547
10	1054.8306	12.19		177047	206388	307743	398452	180511	253008	229629	138793	177993	101010	116255	286585	259446	247163	277354	121695	23566	203936	122109	256498	165182	220341	199235	205804	41577	107763	125534	52705	80534	289196	108316	127802	468986	89880	590654	366526	140090	54331	278729	55249	292850	116484	84924	412954	206280	236111	156267	118294	25779	99445	214340	104166	67636	188830	57664	90128	127443	258878	228560	170269	246414	85185	286991	125721	383269	114214	200361	225671	216028	140275	34954	71554	91116	110378	174967	191057	45421	231392	55361	134091	109076	46769	160729	123158	478014	212012	215597	99745	192058	205015	208139	148015	56773	98158	93198	128081	104887	255867	142410	69516	53715	41902	263978	89002	43580	85052	179056	118064	223470	190333	201963	186025	72730	197715	183389	140189	52730	35408	15991		6507		420529	170118	86062	242709	135883	46731	7578	9271	47152	40314			41110	196464	94752	145045	92607	33814	90844	164900	362029	100884	50755	62063	77057	11366	86888	164217	151962	82161	171435	169129	171586	192727	72063	282276	54475	52783	94846	143264	5970	78620	95697	6368	55083	2668	10552	10939		2783	31623	18263	14087					32209	150238	144994	52379	101508	117100	66929	54907	82402	61155	83590	58434	124436	22645		34831	142596	88529	140073	124933	114163	23468	74013	120370	3365	104385	290257	135282	94674	51725	15016	78269	141464	163385	31902	74529	130174	71046	34233	82237	60263	126175	92830	186650	128761	220280	45449	222680	113608	15307	73847	128200	243339	69772	100705	101038	7626	157354	162462	108868	144248	34987	56818	102805	103286	40544	86399	128385	137498	138857	97365	63299	313190	36712	12711	47638	87136	46157	90785	72684	117303	45112	36043	81286	183397	113454	117448	132108	87781	54461	86591	51412	30203	69384	107624	30932	47981	38399	59182	56995	98868	43732	33829	129606	90000	73429	177134	93239	66309	243519	102395	94937	45220	178979	124146	103734	25585	116742	76497	82179	143221	3583	4304	10425	142071	175538	71792	19387	17621	81712	102416	99537	3571	14566	106364	116023	368254	167612	59482	56385	62209	74464	124248	143603	56850	20126	261315	60789	46727	84407	75890	110128	132324
