Sample	WindowGroup
BPP01	NA
HPP01	NA
Sample_246	1
Sample_21	1
Sample_66	1
Sample_281	1
Sample_175	1
Sample_62	1
Sample_125	1
Sample_295	1
Sample_170	1
Sample_193	1
Sample_166	1
Sample_12	1
Sample_213	1
Sample_26	1
Sample_54	1
Sample_161	1
Sample_225	1
Sample_121	1
Sample_40	1
Sample_296	1
BPP02	NA
HPP02	NA
Sample_189	2
Sample_128	2
Sample_31	2
Sample_233	2
Sample_119	2
Sample_78	2
Sample_167	2
Sample_291	2
Sample_72	2
Sample_299	2
Sample_100	2
Sample_111	2
Sample_56	2
Sample_134	2
Sample_15	2
Sample_190	2
Sample_67	2
Sample_33	2
Sample_82	2
Sample_294	2
BPP03	NA
HPP03	NA
Sample_268	3
Sample_196	3
Sample_276	3
Sample_27	3
Sample_205	3
Sample_235	3
Sample_49	3
Sample_203	3
Sample_300	3
Sample_156	3
Sample_73	3
Sample_133	3
Sample_174	3
Sample_47	3
Sample_86	3
Sample_145	3
Sample_282	3
Sample_93	3
Sample_243	3
Sample_18	3
BPP04	NA
HPP04	NA
Sample_292	4
Sample_231	4
Sample_177	4
Sample_136	4
Sample_122	4
Sample_92	4
Sample_267	4
Sample_16	4
Sample_152	4
Sample_22	4
Sample_240	4
Sample_297	4
Sample_191	4
Sample_274	4
Sample_102	4
Sample_146	4
Sample_132	4
Sample_227	4
Sample_6	4
Sample_181	4
BPP05	NA
HPP05	NA
Sample_252	5
Sample_19	5
Sample_287	5
Sample_242	5
Sample_153	5
Sample_199	5
Sample_124	5
Sample_140	5
Sample_218	5
Sample_270	5
Sample_81	5
Sample_163	5
Sample_272	5
Sample_50	5
Sample_261	5
Sample_36	5
Sample_137	5
Sample_158	5
Sample_288	5
Sample_44	5
BPP06	NA
HPP06	NA
Sample_117	6
Sample_1	6
Sample_8	6
Sample_247	6
Sample_123	6
Sample_269	6
Sample_116	6
Sample_232	6
Sample_65	6
Sample_138	6
Sample_48	6
Sample_68	6
Sample_55	6
Sample_150	6
Sample_101	6
Sample_151	6
Sample_162	6
Sample_24	6
Sample_34	6
Sample_224	6
BPP07	NA
HPP07	NA
Sample_10	7
Sample_79	7
Sample_259	7
Sample_254	7
Sample_144	7
Sample_118	7
Sample_53	7
Sample_251	7
Sample_184	7
Sample_289	7
Sample_103	7
Sample_186	7
Sample_273	7
Sample_263	7
Sample_182	7
Sample_4	7
Sample_42	7
Sample_262	7
Sample_109	7
Sample_127	7
BPP08	NA
HPP08	NA
Sample_250	8
Sample_80	8
Sample_51	8
Sample_178	8
Sample_255	8
Sample_149	8
Sample_286	8
Sample_5	8
Sample_249	8
Sample_168	8
Sample_256	8
Sample_245	8
Sample_84	8
Sample_46	8
Sample_298	8
Sample_234	8
Sample_129	8
Sample_99	8
Sample_29	8
Sample_38	8
BPP09	NA
HPP09	NA
Sample_69	9
Sample_143	9
Sample_104	9
Sample_209	9
Sample_85	9
Sample_239	9
Sample_264	9
Sample_275	9
Sample_14	9
Sample_139	9
Sample_63	9
Sample_278	9
Sample_185	9
Sample_216	9
Sample_228	9
Sample_77	9
Sample_64	9
Sample_204	9
Sample_94	9
Sample_114	9
BPP10	NA
HPP10	NA
Sample_98	10
Sample_257	10
Sample_220	10
Sample_211	10
Sample_107	10
Sample_202	10
Sample_241	10
Sample_192	10
Sample_222	10
Sample_195	10
Sample_89	10
Sample_30	10
Sample_110	10
Sample_61	10
Sample_266	10
Sample_155	10
Sample_148	10
Sample_180	10
Sample_141	10
Sample_198	10
BPP11	NA
HPP11	NA
Sample_75	11
Sample_214	11
Sample_9	11
Sample_23	11
Sample_112	11
Sample_187	11
Sample_28	11
Sample_169	11
Sample_37	11
Sample_201	11
Sample_17	11
Sample_90	11
Sample_172	11
Sample_83	11
Sample_25	11
Sample_283	11
Sample_260	11
Sample_237	11
Sample_154	11
Sample_284	11
BPP12	NA
HPP12	NA
Sample_207	12
Sample_57	12
Sample_238	12
Sample_52	12
Sample_271	12
Sample_135	12
Sample_96	12
Sample_160	12
Sample_39	12
Sample_258	12
Sample_60	12
Sample_59	12
Sample_197	12
Sample_265	12
Sample_105	12
Sample_279	12
Sample_88	12
Sample_226	12
Sample_173	12
Sample_45	12
BPP13	NA
HPP13	NA
Sample_126	13
Sample_208	13
Sample_171	13
Sample_159	13
Sample_277	13
Sample_7	13
Sample_165	13
Sample_32	13
Sample_188	13
Sample_194	13
Sample_43	13
Sample_285	13
Sample_215	13
Sample_217	13
Sample_3	13
Sample_236	13
Sample_11	13
Sample_106	13
Sample_290	13
Sample_95	13
BPP14	NA
HPP14	NA
Sample_206	14
Sample_219	14
Sample_280	14
Sample_157	14
Sample_35	14
Sample_176	14
Sample_97	14
Sample_221	14
Sample_244	14
Sample_210	14
Sample_229	14
Sample_179	14
Sample_115	14
Sample_248	14
Sample_113	14
Sample_253	14
Sample_13	14
Sample_131	14
Sample_58	14
Sample_2	14
BPP15	NA
HPP15	NA
Sample_91	15
Sample_183	15
Sample_142	15
Sample_223	15
Sample_120	15
Sample_130	15
Sample_147	15
Sample_76	15
Sample_41	15
Sample_212	15
Sample_70	15
Sample_108	15
Sample_164	15
Sample_293	15
Sample_74	15
Sample_230	15
Sample_87	15
Sample_71	15
Sample_20	15
Sample_200	15
BPP16	NA
HPP16	NA
