Compound	m.z	RT	Metabolite
1	612.4941	4.53	Known_1
2	614.5099	4.86	Known_2
3	638.5098	4.69	Known_3
4	640.5254	5.02	Known_4
5	642.5413	5.32	Known_5
6	654.5774	5.75	Known_6
7	628.5253	5.10	Known_7
8	648.4947	5.20	Known_8
9	650.5095	5.32	Known_9
10	652.5263	5.62	Known_10
11	654.5418	5.89	Known_11
12	608.4988	5.47	Known_12
13	610.5149	5.76	Known_13
14	632.4995	5.48	Known_14
15	634.5145	5.59	Known_15
16	636.5305	5.90	Known_16
17	638.5461	6.17	Known_17
18	656.4995	5.40	Known_18
19	609.5310	4.55	Known_19
20	611.5465	4.91	Known_20
21	657.5292	4.78	Known_21
22	637.5623	5.07	Known_22
23	639.5778	5.39	Known_23
24	622.5899	8.20	Known_24
25	624.6050	8.43	Known_25
26	626.6211	8.70	Known_26
27	648.6479	7.61	Known_27
28	609.5925	9.23	Data1_Unknown_1
29	610.5898	8.07	Data1_Unknown_2
30	610.5901	8.26	Data1_Unknown_3
31	610.8351	10.25	Data1_Unknown_4
32	612.6052	8.33	Data1_Unknown_5
33	613.5599	5.09	Data1_Unknown_6
34	613.6006	8.22	Data1_Unknown_7
35	615.5004	8.40	Data1_Unknown_8
36	615.5451	8.24	Data1_Unknown_9
37	615.6165	8.47	Data1_Unknown_10
38	616.4609	0.94	Data1_Unknown_11
39	617.5035	8.08	Data1_Unknown_12
40	617.5157	8.70	Data1_Unknown_13
41	617.6321	8.78	Data1_Unknown_14
42	617.6330	8.89	Data1_Unknown_15
43	618.6010	7.00	Data1_Unknown_16
44	619.5128	4.65	Data1_Unknown_17
45	619.5189	8.35	Data1_Unknown_18
46	620.3851	3.25	Data1_Unknown_19
47	620.6168	7.24	Data1_Unknown_20
48	621.5344	8.61	Data1_Unknown_21
49	623.5326	8.72	Data1_Unknown_22
50	623.5466	4.81	Data1_Unknown_23
51	623.5562	7.01	Data1_Unknown_24
52	624.4930	5.18	Data1_Unknown_25
53	624.5298	5.34	Data1_Unknown_26
54	625.5298	7.91	Data1_Unknown_27
55	625.5624	5.16	Data1_Unknown_28
56	625.5720	7.23	Data1_Unknown_29
57	626.5099	5.47	Data1_Unknown_30
58	626.5459	5.63	Data1_Unknown_31
59	626.5464	5.35	Data1_Unknown_32
60	626.6206	8.34	Data1_Unknown_33
61	627.5415	4.08	Data1_Unknown_34
62	627.5415	4.65	Data1_Unknown_35
63	627.5451	8.20	Data1_Unknown_36
64	628.5615	5.63	Data1_Unknown_37
65	629.5489	6.88	Data1_Unknown_38
66	629.5606	8.41	Data1_Unknown_39
67	630.4830	5.22	Data1_Unknown_40
68	630.5254	4.78	Data1_Unknown_41
69	630.5258	4.89	Data1_Unknown_42
70	631.5128	4.55	Data1_Unknown_43
71	631.5762	8.68	Data1_Unknown_44
72	632.7949	10.23	Data1_Unknown_45
73	633.5282	4.90	Data1_Unknown_46
74	634.0297	4.89	Data1_Unknown_47
75	635.5417	5.08	Data1_Unknown_48
76	635.5465	4.75	Data1_Unknown_49
77	635.8034	10.14	Data1_Unknown_50
78	635.8036	7.71	Data1_Unknown_51
79	635.8041	7.76	Data1_Unknown_52
80	635.8042	9.05	Data1_Unknown_53
81	636.4916	4.86	Data1_Unknown_54
82	636.6051	8.20	Data1_Unknown_55
83	637.6007	8.08	Data1_Unknown_56
84	638.8119	10.24	Data1_Unknown_57
85	638.8125	7.58	Data1_Unknown_58
86	639.6164	8.33	Data1_Unknown_59
87	641.5158	8.46	Data1_Unknown_60
88	641.5919	5.54	Data1_Unknown_61
89	641.8203	10.14	Data1_Unknown_62
90	641.8205	9.13	Data1_Unknown_63
91	641.8205	7.93	Data1_Unknown_64
92	641.8209	7.98	Data1_Unknown_65
93	643.5192	8.20	Data1_Unknown_66
94	643.5313	8.79	Data1_Unknown_67
95	644.6165	7.09	Data1_Unknown_68
96	646.5200	4.61	Data1_Unknown_69
97	646.6324	7.35	Data1_Unknown_70
98	647.5326	8.46	Data1_Unknown_71
99	647.5424	5.13	Data1_Unknown_72
100	648.4357	-0.47	Data1_Unknown_73
101	648.4957	5.30	Data1_Unknown_74
102	648.5273	5.62	Data1_Unknown_75
103	649.5020	4.89	Data1_Unknown_76
104	649.5479	8.79	Data1_Unknown_77
105	649.5718	7.10	Data1_Unknown_78
106	651.5783	5.31	Data1_Unknown_79
107	651.5875	7.35	Data1_Unknown_80
108	652.5253	4.93	Data1_Unknown_81
109	652.5612	5.47	Data1_Unknown_82
110	653.5924	5.63	Data1_Unknown_83
111	653.6033	7.60	Data1_Unknown_84
112	654.5411	5.24	Data1_Unknown_85
113	656.5569	5.50	Data1_Unknown_86
114	656.5931	6.05	Data1_Unknown_87
