Data1_Metabolite	Data2_Metaboltie
Known_30	Known_30
Known_31	Known_31
Known_32	Known_32
Known_33	Known_33
Known_34	Known_34
Known_35	Known_35
Known_36	Known_36
Known_37	Known_37
Known_38	Known_38
Known_39	Known_39
Known_40	Known_40
Known_41	Known_41
Known_42	Known_42
Known_43	Known_43
Known_44	Known_44
Known_45	Known_45
Known_46	Known_46
Known_47	Known_47
Known_48	Known_48
Known_49	Known_49
Known_50	Known_50
Known_20	Known_20
Known_19	Known_19
Known_23	Known_23
Known_22	Known_22
Known_21	Known_21
Known_25	NA
Known_24	Known_24
Known_2	Known_2
Known_5	Known_5
Known_4	Known_4
Known_3	Known_3
Known_7	NA
Known_6	NA
Known_11	Known_11
Known_10	Known_10
Known_9	NA
Known_16	NA
Known_15	NA
Known_14	NA
Known_18	NA
Known_27	Known_27
NA	Known_1
NA	Known_29
NA	Known_28
