Data2_Metabolite	Data1_Metabolite
pyroglutamic_acid	pyroglutamic_acid
leucine	leucine
isoleucine	isoleucine
asparagine	asparagine
glutamine	glutamine
carnitine	carnitine
lysine	lysine
kynurenic_acid	kynurenic_acid
phenylalanine	phenylalanine
creatine	creatine
8.11.14-Eicosatrienoic_acid	8.11.14-Eicosatrienoic_acid
pantothenate	pantothenate
aminoisobutyric_acid	aminoisobutyric_acid
gentisate	gentisate
proline	proline
succinate	succinate
2-phosphoglycerate	2-phosphoglycerate
hydroxyproline	hydroxyproline
thiamine	thiamine
alpha-ketoglutarate	alpha-ketoglutarate
oxalate	oxalate
Glycochenodeoxycholic_acid	Glycochenodeoxycholate
Docosahexaenoic_acid	Docosahexaenoic_acid
ornithine	ornithine
Glycocholic_acid	Glycocholate
lactate	lactate
1-methylnicotinamide	1-methylnicotinamide
Glycodeoxycholic_acid	Glycodeoxycholate
pentose_monophosphate	pentose_monophosphate
uracil	uracil
arginine	arginine
cytosine	cytosine
uridine	uridine
Glycolithocholic_acid	Glycolithocholate
acetylcholine	acetylcholine
