Metabolite	HMDB	KEGG	PubChem	ChEBI
1-methylnicotinamide	HMDB00699	C02918	457	16797
2-phosphoglycerate	HMDB00362	NA	59	24344
8.11.14-Eicosatrienoic_acid	HMDB02925	C03242	5280581	53486
acetylcholine	HMDB00895	C01996	187	15355
alpha-ketoglutarate	HMDB00208	C00026	51	30915
aminoisobutyric_acid	HMDB02166	C03284	439434	33094
arginine	HMDB00517	C00062	6322	16467
asparagine	HMDB00168	C00152	6267	17196
carnitine	HMDB00062	C00318	2724480	11060
creatine	HMDB00064	C00300	586	16919
cytosine	HMDB00630	C00380	597	16040
Docosahexaenoic_acid	HMDB02183	C06429	445580	28125
gentisate	HMDB00152	C00628	3469	17189
glutamine	HMDB00641	C00064	5961	18050
Glycochenodeoxycholate	HMDB00637	C05466	22833540	NA
Glycocholate	HMDB00138	C01921	23617285	29746
Glycodeoxycholate	HMDB00631	C05464	22833539	27471
Glycolithocholate	HMDB00698	C15557	115245	37998
hydroxyproline	HMDB00725	C01157	5810	18095
isoleucine	HMDB00172	C00407	6306	17191
kynurenic_acid	HMDB00715	C01717	3845	18344
lactate	HMDB00190	C00186	107689	422
leucine	HMDB00687	C00123	6106	15603
lysine	HMDB00182	C00047	5962	18019
ornithine	HMDB00214	C00077	6262	15729
oxalate	HMDB02329	C00209	971	16995
pantothenate	HMDB00210	C00864	988	7916
pentose_monophosphate	HMDB01548	C00117	439167	52742
phenylalanine	HMDB00159	C00079	6140	17295
proline	HMDB00162	C00148	145742	17203
pyroglutamic_acid	HMDB00267	C01879	7405	18183
succinate	HMDB00254	C00042	1110	15741
thiamine	HMDB00235	C00378	1130	18385
uracil	HMDB00300	C00106	1174	17568
uridine	HMDB00296	C00299	6029	16704
