pathway	external_id	source	ensembl_ids
Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	path:hsa00250	KEGG	ENSG00000113492,ENSG00000182890,ENSG00000159423,ENSG00000086205,ENSG00000130707,ENSG00000136750,ENSG00000135821,ENSG00000203797,ENSG00000021826,ENSG00000185100,ENSG00000167701,ENSG00000112294,ENSG00000198380,ENSG00000128059,ENSG00000120053,ENSG00000185818,ENSG00000125166,ENSG00000166123,ENSG00000115419,ENSG00000177181,ENSG00000183044,ENSG00000166532,ENSG00000084774,ENSG00000148672,ENSG00000108381,ENSG00000104951,ENSG00000126522,ENSG00000114021,ENSG00000135423,ENSG00000128683,ENSG00000070669,ENSG00000035687,ENSG00000172482,ENSG00000131459,ENSG00000239900
Folate biosynthesis - Homo sapiens (human)	path:hsa00790	KEGG	ENSG00000164172,ENSG00000131979,ENSG00000163283,ENSG00000163286,ENSG00000136877,ENSG00000116096,ENSG00000228716,ENSG00000163295,ENSG00000124615,ENSG00000150787,ENSG00000137563,ENSG00000162551,ENSG00000178700,ENSG00000151552
Complement and coagulation cascades - Homo sapiens (human)	path:hsa04610	KEGG	ENSG00000188488,ENSG00000171564,ENSG00000182326,ENSG00000203710,ENSG00000171560,ENSG00000080618,ENSG00000122194,ENSG00000011422,ENSG00000164344,ENSG00000175899,ENSG00000205403,ENSG00000122861,ENSG00000159403,ENSG00000117335,ENSG00000167711,ENSG00000178726,ENSG00000124491,ENSG00000196352,ENSG00000123843,ENSG00000143278,ENSG00000173369,ENSG00000159189,ENSG00000021852,ENSG00000117525,ENSG00000197405,ENSG00000184500,ENSG00000117601,ENSG00000099937,ENSG00000106366,ENSG00000039537,ENSG00000126218,ENSG00000113889,ENSG00000243649,ENSG00000088926,ENSG00000104368,ENSG00000166278,ENSG00000171557,ENSG00000197766,ENSG00000171860,ENSG00000224389,ENSG00000057593,ENSG00000085063,ENSG00000168398,ENSG00000157131,ENSG00000125730,ENSG00000165471,ENSG00000244731,ENSG00000131187,ENSG00000117322,ENSG00000181104,ENSG00000112936,ENSG00000185010,ENSG00000176919,ENSG00000009724,ENSG00000127241,ENSG00000198734,ENSG00000110799,ENSG00000106804,ENSG00000101981,ENSG00000113600,ENSG00000197249,ENSG00000173372,ENSG00000115718,ENSG00000000971,ENSG00000003436,ENSG00000100739,ENSG00000149131,ENSG00000180210,ENSG00000123838
Citrate cycle (TCA cycle) - Homo sapiens (human)	path:hsa00020	KEGG	ENSG00000131473,ENSG00000014641,ENSG00000122729,ENSG00000138413,ENSG00000172340,ENSG00000073578,ENSG00000197444,ENSG00000067829,ENSG00000062485,ENSG00000091483,ENSG00000119689,ENSG00000124253,ENSG00000100889,ENSG00000150768,ENSG00000091140,ENSG00000117118,ENSG00000173599,ENSG00000163541,ENSG00000131828,ENSG00000166411,ENSG00000100412,ENSG00000101365,ENSG00000168291,ENSG00000143252,ENSG00000182054,ENSG00000204370,ENSG00000105953,ENSG00000146701,ENSG00000163114,ENSG00000136143
Antigen processing and presentation - Homo sapiens (human)	path:hsa04612	KEGG	ENSG00000133111,ENSG00000196101,ENSG00000100911,ENSG00000179218,ENSG00000242574,ENSG00000111537,ENSG00000153563,ENSG00000164733,ENSG00000206503,ENSG00000243772,ENSG00000237541,ENSG00000204287,ENSG00000232810,ENSG00000092010,ENSG00000204642,ENSG00000205809,ENSG00000242019,ENSG00000120837,ENSG00000183542,ENSG00000134539,ENSG00000172116,ENSG00000231389,ENSG00000216490,ENSG00000127022,ENSG00000204389,ENSG00000204388,ENSG00000010610,ENSG00000100600,ENSG00000080824,ENSG00000135047,ENSG00000204267,ENSG00000240403,ENSG00000131467,ENSG00000234745,ENSG00000223865,ENSG00000096384,ENSG00000109971,ENSG00000241106,ENSG00000204592,ENSG00000196735,ENSG00000221957,ENSG00000126803,ENSG00000179583,ENSG00000227357,ENSG00000179344,ENSG00000125498,ENSG00000204632,ENSG00000168394,ENSG00000170606,ENSG00000198502,ENSG00000204390,ENSG00000167633,ENSG00000044574,ENSG00000019582,ENSG00000166710,ENSG00000204525,ENSG00000134545,ENSG00000204252,ENSG00000118260,ENSG00000231925,ENSG00000163131,ENSG00000066136,ENSG00000001167,ENSG00000173110,ENSG00000064490,ENSG00000205810,ENSG00000167004,ENSG00000196126,ENSG00000143390,ENSG00000204257,ENSG00000189013
Primary immunodeficiency - Homo sapiens (human)	path:hsa05340	KEGG	ENSG00000133111,ENSG00000166349,ENSG00000153563,ENSG00000177455,ENSG00000105369,ENSG00000159958,ENSG00000095585,ENSG00000179583,ENSG00000240505,ENSG00000172116,ENSG00000101017,ENSG00000167286,ENSG00000115085,ENSG00000010610,ENSG00000182866,ENSG00000175097,ENSG00000196839,ENSG00000163600,ENSG00000010671,ENSG00000076248,ENSG00000204267,ENSG00000143390,ENSG00000111732,ENSG00000152457,ENSG00000269335,ENSG00000128322,ENSG00000168394,ENSG00000168685,ENSG00000198851,ENSG00000160224,ENSG00000105639,ENSG00000064490,ENSG00000102245,ENSG00000081237,ENSG00000147168,ENSG00000276045
Dorso-ventral axis formation - Homo sapiens (human)	path:hsa04320	KEGG	ENSG00000134954,ENSG00000146648,ENSG00000107864,ENSG00000074181,ENSG00000102882,ENSG00000155816,ENSG00000204991,ENSG00000214575,ENSG00000148400,ENSG00000137449,ENSG00000100030,ENSG00000169032,ENSG00000134627,ENSG00000197181,ENSG00000100485,ENSG00000204301,ENSG00000115904,ENSG00000139083,ENSG00000113742,ENSG00000184571,ENSG00000134250,ENSG00000134278,ENSG00000133703,ENSG00000177885,ENSG00000157557,ENSG00000125207,ENSG00000010030
Tryptophan metabolism - Homo sapiens (human)	path:hsa00380	KEGG	ENSG00000131203,ENSG00000105953,ENSG00000196433,ENSG00000072210,ENSG00000002726,ENSG00000075239,ENSG00000138061,ENSG00000115919,ENSG00000127884,ENSG00000151790,ENSG00000138796,ENSG00000113790,ENSG00000183077,ENSG00000197444,ENSG00000189221,ENSG00000121691,ENSG00000111275,ENSG00000140465,ENSG00000139287,ENSG00000069535,ENSG00000129167,ENSG00000164904,ENSG00000162882,ENSG00000188676,ENSG00000117009,ENSG00000105607,ENSG00000138356,ENSG00000084754,ENSG00000109576,ENSG00000104951,ENSG00000132437,ENSG00000129673,ENSG00000153086,ENSG00000241644,ENSG00000137944,ENSG00000171097,ENSG00000143149,ENSG00000140505,ENSG00000137124,ENSG00000120437
Prion diseases - Homo sapiens (human)	path:hsa05020	KEGG	ENSG00000165059,ENSG00000072062,ENSG00000126934,ENSG00000204389,ENSG00000010810,ENSG00000021852,ENSG00000102882,ENSG00000113600,ENSG00000135862,ENSG00000142168,ENSG00000173369,ENSG00000100030,ENSG00000159189,ENSG00000183943,ENSG00000169032,ENSG00000149294,ENSG00000136244,ENSG00000126767,ENSG00000039537,ENSG00000148400,ENSG00000115008,ENSG00000142875,ENSG00000157131,ENSG00000125538,ENSG00000168439,ENSG00000112936,ENSG00000204403,ENSG00000044574,ENSG00000087088,ENSG00000106804,ENSG00000120738,ENSG00000154654,ENSG00000171867,ENSG00000173372,ENSG00000271503,ENSG00000176919
Fanconi anemia pathway - Homo sapiens (human)	path:hsa03460	KEGG	ENSG00000115392,ENSG00000009413,ENSG00000175279,ENSG00000197774,ENSG00000122512,ENSG00000112039,ENSG00000144554,ENSG00000132383,ENSG00000136492,ENSG00000135945,ENSG00000100038,ENSG00000154920,ENSG00000188827,ENSG00000169689,ENSG00000221829,ENSG00000100726,ENSG00000198690,ENSG00000122008,ENSG00000204086,ENSG00000077152,ENSG00000183161,ENSG00000187790,ENSG00000076242,ENSG00000117748,ENSG00000108384,ENSG00000181544,ENSG00000175054,ENSG00000051180,ENSG00000012048,ENSG00000083093,ENSG00000170734,ENSG00000197299,ENSG00000177302,ENSG00000114742,ENSG00000131944,ENSG00000181625,ENSG00000012061,ENSG00000175643,ENSG00000158169,ENSG00000164053,ENSG00000185504,ENSG00000162607,ENSG00000114315,ENSG00000130997,ENSG00000101751,ENSG00000140525,ENSG00000139618,ENSG00000187741,ENSG00000178966,ENSG00000132207,ENSG00000172732,ENSG00000175595,ENSG00000106399
