pathway	source	metabolites
Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	KEGG	kegg:C00158,kegg:C03406,kegg:C00014,kegg:C00402,kegg:C00152,kegg:C00036,kegg:C03794,kegg:C03090,kegg:C03912,kegg:C00049,kegg:C00232,kegg:C00334,kegg:C00041,kegg:C00122,kegg:C00064,kegg:C00352,kegg:C00169,kegg:C00022,kegg:C00025,kegg:C00026,kegg:C00042,kegg:C00438,kegg:C00940,kegg:C20776,kegg:C01042,kegg:C20775,kegg:C02362,kegg:C12270
Folate biosynthesis - Homo sapiens (human)	KEGG	kegg:C00266,kegg:C04244,kegg:C00504,kegg:C02587,kegg:C00268,kegg:C04807,kegg:C05922,kegg:C05923,kegg:C05926,kegg:C05927,kegg:C05924,kegg:C05925,kegg:C16675,kegg:C15996,kegg:C20239,kegg:C18239,kegg:C00272,kegg:C18802,kegg:C00044,kegg:C00251,kegg:C00101,kegg:C00415,kegg:C03684,kegg:C20248,kegg:C00921,kegg:C01300,kegg:C11355,kegg:C04874,kegg:C04895,kegg:C09332,kegg:C06149,kegg:C06148,kegg:C03541,kegg:C00568,kegg:C01217
Complement and coagulation cascades - Homo sapiens (human)	KEGG	kegg:C00306,kegg:C00290
Citrate cycle (TCA cycle) - Homo sapiens (human)	KEGG	kegg:C00158,kegg:C00149,kegg:C00074,kegg:C05125,kegg:C00091,kegg:C00024,kegg:C00022,kegg:C05381,kegg:C00068,kegg:C00036,kegg:C00026,kegg:C15973,kegg:C16254,kegg:C16255,kegg:C00311,kegg:C15972,kegg:C00042,kegg:C00417,kegg:C05379,kegg:C00122
Tryptophan metabolism - Homo sapiens (human)	KEGG	kegg:C05644,kegg:C02172,kegg:C02043,kegg:C05638,kegg:C00078,kegg:C03230,kegg:C03574,kegg:C02220,kegg:C05641,kegg:C02161,kegg:C00643,kegg:C00877,kegg:C06213,kegg:C00463,kegg:C05654,kegg:C16517,kegg:C06212,kegg:C00954,kegg:C00955,kegg:C05663,kegg:C05648,kegg:C05647,kegg:C05646,kegg:C05645,kegg:C02700,kegg:C05643,kegg:C05642,kegg:C00978,kegg:C05640,kegg:C03722,kegg:C16516,kegg:C01111,kegg:C03824,kegg:C04409,kegg:C02470,kegg:C00331,kegg:C00332,kegg:C16518,kegg:C00398,kegg:C02775,kegg:C01987,kegg:C05831,kegg:C02937,kegg:C00024,kegg:C03453,kegg:C00108,kegg:C00632,kegg:C00637,kegg:C01598,kegg:C05656,kegg:C03227,kegg:C01717,kegg:C05660,kegg:C05834,kegg:C05835,kegg:C05837,kegg:C05658,kegg:C05659,kegg:C05832,kegg:C05830,kegg:C01144,kegg:C05655,kegg:C02693,kegg:C05653,kegg:C05651,kegg:C05652,kegg:C02298,kegg:C05636,kegg:C05637,kegg:C05634,kegg:C05635,kegg:C01249,kegg:C01252,kegg:C00328,kegg:C02938,kegg:C00780,kegg:C17203,kegg:C00322,kegg:C00527,kegg:C05639
Prion diseases - Homo sapiens (human)	KEGG	kegg:C00575,kegg:C02140,kegg:C00027
Inflammatory mediator regulation of TRP channels - Homo sapiens (human)	KEGG	kegg:C06866,kegg:C00076,kegg:C00388,kegg:C00400,kegg:C14768,kegg:C14769,kegg:C00469,kegg:C02165,kegg:C04805,kegg:C00584,kegg:C19317,kegg:C05966,kegg:C05965,kegg:C01330,kegg:C01245,kegg:C00080,kegg:C00575,kegg:C11695,kegg:C09844,kegg:C00165,kegg:C00219,kegg:C00002,kegg:C00903,kegg:C09179,kegg:C06254,kegg:C07600,kegg:C04742,kegg:C20698,kegg:C00808,kegg:C00809,kegg:C20171,kegg:C09155,kegg:C00306,kegg:C00780,kegg:C12083,kegg:C12271
Glycosphingolipid biosynthesis - ganglio series - Homo sapiens (human)	KEGG	kegg:G00125,kegg:G00127,kegg:G00129,kegg:G00128,kegg:G00167,kegg:G00166,kegg:G00121,kegg:C04911,kegg:G00122,kegg:C04730,kegg:G00168,kegg:C04884,kegg:G00126,kegg:C06134,kegg:C06135,kegg:C06136,kegg:C06133,kegg:C06299,kegg:C06138,kegg:C06139,kegg:G00169,kegg:G00131,kegg:C01290,kegg:G00170,kegg:C04927,kegg:C06141,kegg:C06140,kegg:G00132,kegg:G00130,kegg:G00120,kegg:G00119
Non-small cell lung cancer - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C00165,kegg:C05981,kegg:C01245,kegg:C00777,kegg:C15493
Platelet activation - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C00165,kegg:C00533,kegg:C00008,kegg:C00942,kegg:C00752,kegg:C01312,kegg:C00002,kegg:C05956,kegg:C02198,kegg:C05981,kegg:C01245,kegg:C00427,kegg:C00219,kegg:C00575
Chronic myeloid leukemia - Homo sapiens (human)	KEGG	kegg:C05981
ECM-receptor interaction - Homo sapiens (human)	KEGG	kegg:C00518
Focal adhesion - Homo sapiens (human)	KEGG	kegg:C04637,kegg:C05981
Pyruvate metabolism - Homo sapiens (human)	KEGG	kegg:C00074,kegg:C00033,kegg:C00036,kegg:C00424,kegg:C05993,kegg:C00937,kegg:C02488,kegg:C03248,kegg:C00058,kegg:C00186,kegg:C15972,kegg:C15973,kegg:C16255,kegg:C00084,kegg:C00083,kegg:C03451,kegg:C00042,kegg:C00332,kegg:C01251,kegg:C00149,kegg:C00256,kegg:C00024,kegg:C00022,kegg:C05994,kegg:C00068,kegg:C03981,kegg:C05125,kegg:C02504,kegg:C00227,kegg:C00546,kegg:C00122
mTOR signaling pathway - Homo sapiens (human)	KEGG	kegg:C15195,kegg:D00944,kegg:C07909,kegg:C00020,kegg:C05981,kegg:C04677,kegg:D02714,kegg:C15181,kegg:C15183,kegg:C15182
PI3K-Akt signaling pathway - Homo sapiens (human)	KEGG	kegg:C00020,kegg:C04637,kegg:C00533,kegg:C05981
Regulation of lipolysis in adipocytes - Homo sapiens (human)	KEGG	kegg:C00942,kegg:C00116,kegg:C00162,kegg:C00165,kegg:C00422,kegg:C00020,kegg:C16003,kegg:C02140,kegg:C00788,kegg:C00219,kegg:C00575,kegg:C00547,kegg:C01885,kegg:C00212,kegg:C00584
Retinol metabolism - Homo sapiens (human)	KEGG	kegg:C02588,kegg:C15493,kegg:C15492,kegg:C16677,kegg:C16678,kegg:C16679,kegg:C00899,kegg:C11061,kegg:C00376,kegg:C02094,kegg:C02075,kegg:C03455,kegg:C00777,kegg:C00473,kegg:C00778,kegg:C02110,kegg:C05917,kegg:C05916,kegg:C05915,kegg:C05914,kegg:C16683,kegg:C16682,kegg:C16681,kegg:C16680
Oxytocin signaling pathway - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C00165,kegg:C00533,kegg:C00942,kegg:C16003,kegg:C01245,kegg:C00427,kegg:C13050,kegg:C00219,kegg:C00575,kegg:C00639,kegg:C00238,kegg:C00584
Adipocytokine signaling pathway - Homo sapiens (human)	KEGG	kegg:C00162,kegg:C00165,kegg:C00195,kegg:C15493,kegg:C00083,kegg:C00638,kegg:C00040
T cell receptor signaling pathway - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C01245,kegg:C00165,kegg:C05981
B cell receptor signaling pathway - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C01245,kegg:C00165,kegg:C05981
Fc epsilon RI signaling pathway - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C00165,kegg:C00696,kegg:C05952,kegg:C05951,kegg:C05981,kegg:C02166,kegg:C01245,kegg:C00219,kegg:C00374,kegg:C00388
Fc gamma R-mediated phagocytosis - Homo sapiens (human)	KEGG	kegg:C00076,kegg:C04637,kegg:C00165,kegg:C00416,kegg:C05981,kegg:C01245,kegg:C06124,kegg:C00219
